Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,10444,11832,13694,14985,15701,15803
Estimated resident population - at 30 June,Population density (persons/km2),,4273.3,4841.2,5603.1,6131.3,6424.3,6466
Estimated resident population - at 30 June,Estimated resident population - males (no.),,5433,6136,7028,7696,8095,8154
Estimated resident population - at 30 June,Estimated resident population - females (no.),,5011,5696,6666,7289,7606,7649
Estimated resident population - at 30 June,Median age - males (years),,31.3,31.2,31.4,31.5,31.7,32.5
Estimated resident population - at 30 June,Median age - females (years),,30.1,30,30.2,30.5,30.8,31.6
Estimated resident population - at 30 June,Median age - persons (years),,30.7,30.6,30.8,31,31.3,32.1
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,9131,10304,11905,12926,13468,13515
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,87.4,87.1,86.9,86.3,85.8,85.5
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,262,311,345,351,378,320
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,68,90,105,154,175,195
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,43,52,65,72,72,89
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,196,218,227,233,224,191
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,722,811,972,1063,1083,1023
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,1157,1316,1463,1544,1589,1506
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,919,1036,1190,1282,1322,1380
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,499,561,655,749,869,906
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,301,342,384,436,459,470
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,256,274,340,353,363,381
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,278,309,327,342,354,378
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,226,251,299,351,384,413
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,183,196,238,271,289,308
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,164,186,192,207,203,218
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,88,109,143,159,175,189
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,44,42,50,76,87,110
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,19,23,23,34,42,45
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,8,9,10,19,27,32
Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,4.8,5.1,4.9,4.6,4.7,3.9
Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,1.3,1.5,1.5,2,2.2,2.4
Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,0.8,0.8,0.9,0.9,0.9,1.1
Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,3.6,3.6,3.2,3,2.8,2.3
Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,13.3,13.2,13.8,13.8,13.4,12.5
Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,21.3,21.4,20.8,20.1,19.6,18.5
Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,16.9,16.9,16.9,16.7,16.3,16.9
Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,9.2,9.1,9.3,9.7,10.7,11.1
Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,5.5,5.6,5.5,5.7,5.7,5.8
Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,4.7,4.5,4.8,4.6,4.5,4.7
Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,5.1,5,4.7,4.4,4.4,4.6
Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,4.2,4.1,4.3,4.6,4.7,5.1
Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,3.4,3.2,3.4,3.5,3.6,3.8
Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,3,3,2.7,2.7,2.5,2.7
Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,1.6,1.8,2,2.1,2.2,2.3
Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,0.8,0.7,0.7,1,1.1,1.3
Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,0.3,0.4,0.3,0.4,0.5,0.6
Estimated resident population - Males - at 30 June,Males - 85 and over (%),,0.1,0.1,0.1,0.2,0.3,0.4
Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,253,287,358,392,380,314
