,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
0,0,EAST MELBOURNE 12/174 George Street VIC 3002,495,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
1,1,BRIGHTON 210/26 Warleigh Grove VIC 3186,595,2,2,1,Apartment / Unit / Flat,-37.9057,145.0067,"[145.0067, -37.9057]"
2,5,CARLTON G06/81 Cemetery Road VIC 3053,375,1,1,0,Apartment / Unit / Flat,-37.8004,144.9684,"[144.9684, -37.8004]"
3,6,ST KILDA EAST 7/1A Hughenden Road VIC 3183,340,1,1,1,Apartment / Unit / Flat,-37.8692,144.9977,"[144.9977, -37.8692]"
4,7,ABBOTSFORD EG07/11 Flockhart Street VIC 3067,375,2,1,0,Apartment / Unit / Flat,-37.8046,144.9998,"[144.9998, -37.8046]"
5,8,BRUNSWICK WEST 10/5 Allard Street VIC 3055,370,1,1,1,Apartment / Unit / Flat,-37.7603,144.9502,"[144.9502, -37.7603]"
6,9,EAST MELBOURNE 1105/162 Albert Street VIC 3002,420,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
7,10,ARMADALE 6/6 Denbigh Road VIC 3143,710,2,2,1,Apartment / Unit / Flat,-37.85,145.0333,"[145.0333, -37.85]"
8,11,EAST MELBOURNE 107K/211 Powlett Street VIC 3002,550,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
9,12,PORT MELBOURNE 409/108 Bay Street VIC 3207,550,1,2,1,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
10,13,HAWTHORN 15/64 Auburn Rd VIC 3122,330,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
11,14,ELWOOD 205/95 Ormond Road VIC 3184,410,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
12,15,SOUTH YARRA 603/101 River Street VIC 3141,850,2,2,2,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
13,16,MONTMORENCY 2/14 Binns Street VIC 3094,450,2,1,2,Apartment / Unit / Flat,-37.7167,145.1167,"[145.1167, -37.7167]"
14,17,SOUTHBANK 602/250 City Road VIC 3006,385,1,1,0,Apartment / Unit / Flat,-37.8228,144.9643,"[144.9643, -37.8228]"
15,18,ELWOOD 7/23 Bendigo Avenue VIC 3184,240,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
16,19,MURRUMBEENA 5/34 Bute Street VIC 3163,340,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
17,20,COLLINGWOOD 204/107 Cambridge Street VIC 3066,480,1,1,1,Apartment / Unit / Flat,-37.8,144.9833,"[144.9833, -37.8]"
18,21,CAULFIELD NORTH 10/663 Inkerman Road VIC 3161,525,2,1,1,Apartment / Unit / Flat,-37.872,145.0216,"[145.0216, -37.872]"
19,22,GLEN IRIS 1492 Malvern Road VIC 3146,230,1,1,0,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]"
20,23,PORT MELBOURNE 214/54 Nott Street VIC 3207,440,1,1,1,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
21,24,WODONGA 1/6 Rattray Avenue VIC 3690,250,2,1,1,Apartment / Unit / Flat,-36.0997,146.802,"[146.802, -36.0997]"
22,25,MOONEE PONDS 105/333 Ascot Vale Rd VIC 3039,480,2,2,1,Apartment / Unit / Flat,-37.7667,144.9167,"[144.9167, -37.7667]"
23,26,WINDSOR 12/30 James Street VIC 3181,70,1,1,1,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]"
24,29,FOOTSCRAY 1003/8 Joseph Road VIC 3011,480,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
25,30,HAWTHORN 6/566 Glenferrie Road VIC 3122,480,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
