,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
0,BALLAR12461,Anytime Fitness Ballarat,La Trobe,BALLARAT,3350.0,-37.573219,143.835744,,"601-603 La Trobe Street, BALLARAT 3350",565 U10
1,BALLAR12462,Anytime Fitness Mount Clear,Geelong,MOUNT CLEAR,3350.0,-37.602661,143.867711,,"5/1174 Geelong Road, MOUNT CLEAR 3350",572 F6
2,BALLAR12516,O'Briens Kickboxing & Boxing Gym,Howitt,BALLARAT NORTH,3350.0,-37.542919,143.857592,,"502 Howitt Street, BALLARAT NORTH 3350",566 D4
3,BALLAR12517,On Track Personal Fitness,Sturt,BALLARAT,3350.0,-37.562484,143.859425,,"37 Sturt Street, BALLARAT 3350",566 D8
4,BALLAR12525,Spartans Gym and Supplements,Howitt,BALLARAT NORTH,3350.0,-37.542901,143.857062,,"502 Howitt Street, BALLARAT NORTH 3350",566 D4
5,BALLAR5560,4U Health and Fitness,Gregory,BALLARAT,3350.0,-37.546259,143.868684,,"12 Gregory Street, BALLARAT 3350",
6,BANYUL12837,Macleod Recreation & Fitness Centre,Wungan,MACLEOD,3085.0,-37.723317,145.068971,Wooden Gymnasium,"157 Wungan Street, MACLEOD 3085",20 A7
7,BANYUL12817,Anytime Fitness Greensborough,Main,GREENSBOROUGH,3088.0,-37.702516,145.102782,,"25 Main Road, GREENSBOROUGH 3088",
8,BANYUL12796,Anytime Fitness Heidelberg,Burgundy,HEIDELBERG,3084.0,-37.75609,145.064412,,"163/165 Burgundy Street, HEIDELBERG 3084",
9,BANYUL12797,Gym on Grimshaw,Grimshaw,BUNDOORA ,3083.0,-37.702087,145.071402,,"7/445 Grimshaw Street, BUNDOORA  3083",
10,BANYUL12828,Ivanhoe Aquatic & Fitness Centre,Waterdale,IVANHOE ,3079.0,-37.76226,145.043423,," Waterdale Road, IVANHOE  3079",31 E10
11,BANYUL12832,Jetts Fitness Bundoora,Grimshaw,BUNDOORA ,3083.0,-37.699165,145.059327,,"584 Grimshaw Street, BUNDOORA  3083",
12,BANYUL12809,Take2 Fitness For Women,Beetham ,ROSANNA,3084.0,-37.743578,145.065542,,"57 Beetham  Parade, ROSANNA 3084",32 A1
13,BAWBAW12126,Braha Martial Arts & Fitness Centre,Victoria,WARRAGUL,3820.0,-38.157426,145.930786,," Victoria Street, WARRAGUL 3820",704 F5
14,BAWBAW12135,Feel Good Fitness,Sutton,WARRAGUL,3820.0,-38.161673,145.955081,,"199 Sutton Street, WARRAGUL 3820",704 E4
15,BAWBAW12141,Fitness 101,Albert,WARRAGUL,3820.0,-38.161778,145.940645,,"122 Albert Street, WARRAGUL 3820",704 F6
16,BAWBAW12086,Gregory's Fitness Centre,Main Nerrim,DROUIN WEST,3818.0,,,,"435 Main Nerrim Road, DROUIN WEST 3818",96 F3
17,BAWBAW12134,Jada Fitness,Pearse,WARRAGUL,3820.0,,,," Pearse Street, WARRAGUL 3820",704 H7
