address,price,beds,baths,parking,propertyTypeFormatted
SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House
RICHMOND 104 Somerset Street VIC 3121,695,2,1,0,House
WEST MELBOURNE 78 Hawke Street VIC 3003,1100,4,2,1,House
ST KILDA EAST 2 Kurrajong Avenue VIC 3183,720,3,2,1,House
CAULFIELD NORTH 38 Park Crescent VIC 3161,920,3,3,2,House
WODONGA 9 Huon Street VIC 3690,400,3,1,0,House
WODONGA 40 DAINTREE WAY VIC 3690,450,3,2,2,House
WODONGA 16 TEAL COURT VIC 3690,480,4,2,2,House
CHADSTONE 37 Margot Street VIC 3148,395,2,1,3,House
FLINDERS 6 Bass Street VIC 3929,1300,5,2,2,House
HIGHETT 28 Wilson Street VIC 3190,750,3,1,2,House
RICHMOND 17 King Street VIC 3121,560,2,1,1,House
CAMBERWELL 203 Highfield Road VIC 3124,1150,6,3,2,House
RICHMOND 4/52 Lyndhurst Street VIC 3121,950,3,2,1,House
GLEN IRIS 44 Francis Cres VIC 3146,995,3,2,3,House
RICHMOND 609/14 David Street VIC 3121,560,2,2,1,House
MOONEE PONDS 80a Waverley Street VIC 3039,750,3,2,2,House
DROMANA 26 William Street VIC 3936,585,4,2,2,House
BRIGHTON 6 Laburnum Court VIC 3186,550,2,1,1,House
GLEN IRIS 67 Florizel Street VIC 3146,640,3,2,4,House
FITZROY NORTH 14 Park Street VIC 3068,1200,3,2,1,House
ARMADALE 34c Rose Street VIC 3143,650,2,1,0,House
GLEN IRIS 14 Grosvenor Road VIC 3146,520,2,1,2,House
ESSENDON 1A Ogilvie St VIC 3040,560,3,1,1,House
UPWEY 64 Ferguson Street VIC 3158,650,3,1,2,House
ALBERT PARK 136 Richardson Street VIC 3206,2500,5,2,1,House
WODONGA 26 HUON STREET VIC 3690,350,2,1,1,House
PRESTON 47 Gilbert Road VIC 3072,700,3,3,3,House
BLACK ROCK 112A Bluff Road VIC 3193,1150,3,1,0,House
NORTHCOTE 4/165 Clarke Street VIC 3070,560,2,1,1,House
CLIFTON HILL 133 Ramsden Street VIC 3068,570,2,1,0,House
BRUNSWICK 92 Brunswick Road VIC 3056,660,3,1,0,House
CAMBERWELL 13 Warburton Road VIC 3124,750,3,1,1,House
RICHMOND 19 Baker Street VIC 3121,510,3,1,0,House
MONT ALBERT NORTH 4 Melrose Street VIC 3129,500,3,1,2,House
EYNESBURY 30 Goulburn Way VIC 3338,450,4,2,2,House
ABBOTSFORD 12 Park Street VIC 3067,675,2,1,0,House
NUNAWADING 13 Brenda Court VIC 3131,550,3,1,1,House
HIGHETT 1/6 Turner Road VIC 3190,715,4,2,2,House
CAMBERWELL 9 Ruyton Street VIC 3124,800,3,2,2,House
PRAHRAN 11 York Street VIC 3181,690,3,1,0,House
MOUNT WAVERLEY 54 Kemp Avenue VIC 3149,450,2,1,1,House
PORT MELBOURNE 85 Dunstan Parade VIC 3207,650,3,1,2,House
NOBLE PARK 44 Chandler Road VIC 3174,525,3,1,2,House
MOORABBIN 23 Hamer Street VIC 3189,725,4,2,2,House
NORTHCOTE 10/2 Johnson Street VIC 3070,330,1,1,1,House
SOUTH MELBOURNE 78 Palmerston Crescent VIC 3205,820,2,2,0,House
OAKLEIGH 41 Bishop Street VIC 3166,650,3,2,2,House
HUGHESDALE 15 Fintonia Street VIC 3166,680,3,2,2,House
CHADSTONE 1/26 Adrian Street VIC 3148,465,3,1,1,House
OAKLEIGH SOUTH 1292 North Road VIC 3167,450,3,1,5,House
BULLEEN 127 Willow Bend VIC 3105,600,4,2,2,House
HIGHETT 34 Donald St VIC 3190,650,3,1,1,House
KEYSBOROUGH 242 Chandler Road VIC 3173,490,3,1,4,House
ABBOTSFORD 11 Turner Street VIC 3067,550,2,1,2,House
SOUTH YARRA 10 Nicholson Street VIC 3141,600,2,1,0,House
PRAHRAN 7 Larnook Street VIC 3181,920,3,1,0,House
CLIFTON HILL 173 Spensley Street VIC 3068,820,3,1,0,House
BRUNSWICK 78 Hope Street VIC 3056,620,2,1,0,House
BALACLAVA 4 Nightingale Street VIC 3183,1050,4,3,1,House
SPRINGVALE SOUTH 2 Vella Court VIC 3172,500,3,2,2,House
CHADSTONE 11 Binalong Ave VIC 3148,525,3,1,3,House
PRAHRAN 2 Anchor Place VIC 3181,1100,3,2,1,House
ALPHINGTON 565 Heidelberg Road VIC 3078,600,3,3,2,House
RIPPONLEA 7A Los Angeles Court VIC 3185,680,2,1,0,House
BEAUMARIS 286A Balcombe Rd VIC 3193,720,3,2,1,House
CHADSTONE 11 Evans Street VIC 3148,590,3,2,2,House
SOUTH YARRA 72 Oban Street VIC 3141,1300,3,2,2,House
WODONGA 1a Clarendon Avenue VIC 3690,585,3,2,2,House
RICHMOND 24 Wertheim Street VIC 3121,625,2,2,1,House
SOUTH YARRA 19 Tivoli Road VIC 3141,530,2,1,0,House
WODONGA 1 Buckland Court VIC 3690,420,3,1,2,House
MOONEE PONDS 12 Vine Street VIC 3039,650,3,1,1,House
OAK PARK 14 Forbes Grove VIC 3046,500,3,2,2,House
THORNBURY 146 Raleigh Street VIC 3071,850,3,2,1,House
RICHMOND 2/94 Buckingham Street VIC 3121,600,2,1,1,House
ROCKBANK 11 Taro Walk VIC 3335,360,3,2,1,House
WEIR VIEWS 27 Fellows Street VIC 3338,400,4,2,2,House
THORNHILL PARK 18 Mclean Street VIC 3335,400,3,2,2,House
BRUNSWICK EAST 250A Stewart Street VIC 3057,750,3,2,2,House
DEEPDENE 5 Whitehorse Road VIC 3103,850,4,3,3,House
MALVERN EAST 1 Thurso St VIC 3145,550,3,1,2,House
BRIGHTON EAST 26 Agnew St VIC 3187,675,2,1,1,House
SPRINGVALE 4 Woodward Street VIC 3171,700,4,2,6,House
KEYSBOROUGH 19 Somerset Drive VIC 3173,430,3,1,3,House
CANTERBURY 31 Bryson Street VIC 3126,1100,4,2,2,House
COBURG 25 Francis Street VIC 3058,650,3,2,0,House
SOUTH YARRA 122 Hope Street VIC 3141,775,2,1,2,House
CLIFTON HILL 105 Field Street VIC 3068,950,4,2,1,House
CHADSTONE 40 Atkinson Street VIC 3148,450,3,1,3,House
BRIGHTON EAST 39 Comer Street VIC 3187,1100,4,2,2,House
NORTHCOTE 57 Bent Street VIC 3070,570,2,1,0,House
GLEN WAVERLEY 34 Garrisson Drive VIC 3150,629,3,1,4,House
KEW 90 Edgevale Road VIC 3101,1600,4,2,1,House
GARDENVALE 53 Elster Avenue VIC 3185,950,3,2,2,House
ST KILDA 17 Charles Street VIC 3182,650,2,1,2,House
BURWOOD EAST 617 Highbury Road VIC 3151,700,4,2,5,House
SOUTH YARRA 3 Barry Street VIC 3141,795,3,1,0,House
CHADSTONE 2/28 Rae Street VIC 3148,600,3,2,2,House
BOX HILL SOUTH 43 Neville Street VIC 3128,445,3,1,2,House
MONT ALBERT NORTH 9 Braemar Street VIC 3129,650,3,1,2,House
WEST FOOTSCRAY 18 Pitt Street VIC 3012,590,3,2,3,House
DONCASTER EAST 2 Peter Street VIC 3109,640,5,2,2,House
COBURG 8 Grey Street VIC 3058,630,5,2,0,House
ASHWOOD 7 Woolert Street VIC 3147,400,2,1,1,House
CAULFIELD 14 Harcourt Ave VIC 3162,950,3,2,2,House
THORNBURY 9 Harold Street VIC 3071,905,3,1,1,House
HEIDELBERG HEIGHTS 562 Waterdale Rd VIC 3081,385,2,1,4,House
TOORAK 99 Grange Road VIC 3142,2200,5,3,2,House
RICHMOND 89 Elizabeth Street VIC 3121,425,2,1,0,House
SOUTH YARRA 19 Balmoral Place VIC 3141,1200,3,3,2,House
