,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
0,0,0,0,SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
1,1,1,1,RICHMOND 104 Somerset Street VIC 3121,695,2,1,0,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
2,2,2,2,WEST MELBOURNE 78 Hawke Street VIC 3003,1100,4,2,1,House,-37.8101,144.95,"[144.95, -37.8101]","[144.95, -37.8101]",5246.2,843.7,516.0,960.7,737.0,3319.6
3,3,3,3,ST KILDA EAST 2 Kurrajong Avenue VIC 3183,720,3,2,1,House,-37.8692,144.9977,"[144.9977, -37.8692]","[144.9977, -37.8692]",8801.2,740.6,1818.7,176.2,1684.7,1184.2
4,4,4,4,CAULFIELD NORTH 38 Park Crescent VIC 3161,920,3,3,2,House,-37.0,145.0,"[145.0, -37.0]","[145.0, -37.0]",84865.1,78589.5,71347.0,0.0,78927.4,13207.1
5,5,5,5,WODONGA 9 Huon Street VIC 3690,400,3,1,0,House,-36.0997,146.802,"[146.802, -36.0997]","[146.802, -36.0997]",5506.1,292446.1,50058.4,10042.8,8547.6,7352.7
6,6,6,6,WODONGA 40 DAINTREE WAY VIC 3690,450,3,2,2,House,-36.0997,146.802,"[146.802, -36.0997]","[146.802, -36.0997]",5506.1,292446.1,50058.4,10042.8,8547.6,7352.7
7,7,7,7,WODONGA 16 TEAL COURT VIC 3690,480,4,2,2,House,-36.0997,146.802,"[146.802, -36.0997]","[146.802, -36.0997]",5506.1,292446.1,50058.4,10042.8,8547.6,7352.7
8,8,8,8,CHADSTONE 37 Margot Street VIC 3148,395,2,1,3,House,-37.8833,145.1167,"[145.1167, -37.8833]","[145.1167, -37.8833]",2903.2,1819.3,3564.6,2789.3,2653.2,922.9
9,9,9,9,FLINDERS 6 Bass Street VIC 3929,1300,5,2,2,House,-38.4739,145.019,"[145.019, -38.4739]","[145.019, -38.4739]",48954.4,22942.8,21451.9,23593.0,16411.5,537.6
