,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
0,SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House,-37.8333,144.9833
1,RICHMOND 104 Somerset Street VIC 3121,695,2,1,0,House,-37.8271,145.0064
2,WEST MELBOURNE 78 Hawke Street VIC 3003,1100,4,2,1,House,-37.8101,144.95
3,ST KILDA EAST 2 Kurrajong Avenue VIC 3183,720,3,2,1,House,-37.8692,144.9977
4,CAULFIELD NORTH 38 Park Crescent VIC 3161,920,3,3,2,House,-37.0,145.0
5,WODONGA 9 Huon Street VIC 3690,400,3,1,0,House,-36.0997,146.802
6,WODONGA 40 DAINTREE WAY VIC 3690,450,3,2,2,House,-36.0997,146.802
7,WODONGA 16 TEAL COURT VIC 3690,480,4,2,2,House,-36.0997,146.802
8,CHADSTONE 37 Margot Street VIC 3148,395,2,1,3,House,-37.8833,145.1167
9,FLINDERS 6 Bass Street VIC 3929,1300,5,2,2,House,-38.4739,145.019
10,HIGHETT 28 Wilson Street VIC 3190,750,3,1,2,House,-37.9517,145.0394
11,RICHMOND 17 King Street VIC 3121,560,2,1,1,House,-37.8271,145.0064
12,CAMBERWELL 203 Highfield Road VIC 3124,1150,6,3,2,House,-37.8248,145.0705
13,RICHMOND 4/52 Lyndhurst Street VIC 3121,950,3,2,1,House,-37.8271,145.0064
14,GLEN IRIS 44 Francis Cres VIC 3146,995,3,2,3,House,-37.8599,145.0549
15,RICHMOND 609/14 David Street VIC 3121,560,2,2,1,House,-37.8271,145.0064
16,MOONEE PONDS 80a Waverley Street VIC 3039,750,3,2,2,House,-37.7667,144.9167
17,DROMANA 26 William Street VIC 3936,585,4,2,2,House,-38.3632,144.9598
18,BRIGHTON 6 Laburnum Court VIC 3186,550,2,1,1,House,-37.9057,145.0067
19,GLEN IRIS 67 Florizel Street VIC 3146,640,3,2,4,House,-37.8599,145.0549
20,FITZROY NORTH 14 Park Street VIC 3068,1200,3,2,1,House,-37.7865,144.9897
21,ARMADALE 34c Rose Street VIC 3143,650,2,1,0,House,-37.85,145.0333
22,GLEN IRIS 14 Grosvenor Road VIC 3146,520,2,1,2,House,-37.8599,145.0549
23,ESSENDON 1A Ogilvie St VIC 3040,560,3,1,1,House,-37.7538,144.8883
24,UPWEY 64 Ferguson Street VIC 3158,650,3,1,2,House,-37.9,145.3333
25,ALBERT PARK 136 Richardson Street VIC 3206,2500,5,2,1,House,46.3636,15.3653
26,WODONGA 26 HUON STREET VIC 3690,350,2,1,1,House,-36.0997,146.802
27,PRESTON 47 Gilbert Road VIC 3072,700,3,3,3,House,-37.75,145.0167
28,BLACK ROCK 112A Bluff Road VIC 3193,1150,3,1,0,House,-37.9736,145.0164
29,NORTHCOTE 4/165 Clarke Street VIC 3070,560,2,1,1,House,-37.7667,145.0
30,CLIFTON HILL 133 Ramsden Street VIC 3068,570,2,1,0,House,-37.7865,144.9897
31,BRUNSWICK 92 Brunswick Road VIC 3056,660,3,1,0,House,-37.7667,144.9667
32,CAMBERWELL 13 Warburton Road VIC 3124,750,3,1,1,House,-37.8248,145.0705
33,RICHMOND 19 Baker Street VIC 3121,510,3,1,0,House,-37.8271,145.0064
34,MONT ALBERT NORTH 4 Melrose Street VIC 3129,500,3,1,2,House,-37.8004,145.1083
35,EYNESBURY 30 Goulburn Way VIC 3338,450,4,2,2,House,-37.7077,144.5749
36,ABBOTSFORD 12 Park Street VIC 3067,675,2,1,0,House,-37.8046,144.9998
37,NUNAWADING 13 Brenda Court VIC 3131,550,3,1,1,House,-37.8275,145.1739
38,HIGHETT 1/6 Turner Road VIC 3190,715,4,2,2,House,-37.9517,145.0394
39,CAMBERWELL 9 Ruyton Street VIC 3124,800,3,2,2,House,-37.8248,145.0705
40,PRAHRAN 11 York Street VIC 3181,690,3,1,0,House,-37.853,144.9929
41,MOUNT WAVERLEY 54 Kemp Avenue VIC 3149,450,2,1,1,House,-37.8771,145.1294
42,PORT MELBOURNE 85 Dunstan Parade VIC 3207,650,3,1,2,House,-37.8329,144.922
43,NOBLE PARK 44 Chandler Road VIC 3174,525,3,1,2,House,-37.9667,145.1667
44,MOORABBIN 23 Hamer Street VIC 3189,725,4,2,2,House,-37.9415,145.0578
45,NORTHCOTE 10/2 Johnson Street VIC 3070,330,1,1,1,House,-37.7667,145.0
46,SOUTH MELBOURNE 78 Palmerston Crescent VIC 3205,820,2,2,0,House,46.3817,15.2958
47,OAKLEIGH 41 Bishop Street VIC 3166,650,3,2,2,House,-37.8995,145.0811
48,HUGHESDALE 15 Fintonia Street VIC 3166,680,3,2,2,House,-37.8995,145.0811
49,CHADSTONE 1/26 Adrian Street VIC 3148,465,3,1,1,House,-37.8833,145.1167
50,OAKLEIGH SOUTH 1292 North Road VIC 3167,450,3,1,5,House,-37.9115538,145.1005469
51,BULLEEN 127 Willow Bend VIC 3105,600,4,2,2,House,-37.7667,145.0833
52,HIGHETT 34 Donald St VIC 3190,650,3,1,1,House,-37.9517,145.0394
53,KEYSBOROUGH 242 Chandler Road VIC 3173,490,3,1,4,House,-37.9912,145.1739
54,ABBOTSFORD 11 Turner Street VIC 3067,550,2,1,2,House,-37.8046,144.9998
55,SOUTH YARRA 10 Nicholson Street VIC 3141,600,2,1,0,House,-37.8333,144.9833
56,PRAHRAN 7 Larnook Street VIC 3181,920,3,1,0,House,-37.853,144.9929
57,CLIFTON HILL 173 Spensley Street VIC 3068,820,3,1,0,House,-37.7865,144.9897
58,BRUNSWICK 78 Hope Street VIC 3056,620,2,1,0,House,-37.7667,144.9667
59,BALACLAVA 4 Nightingale Street VIC 3183,1050,4,3,1,House,-37.8692,144.9977
60,SPRINGVALE SOUTH 2 Vella Court VIC 3172,500,3,2,2,House,-37.9827,145.1342
61,CHADSTONE 11 Binalong Ave VIC 3148,525,3,1,3,House,-37.8833,145.1167
62,PRAHRAN 2 Anchor Place VIC 3181,1100,3,2,1,House,-37.853,144.9929
63,ALPHINGTON 565 Heidelberg Road VIC 3078,600,3,3,2,House,-37.7829,145.0226
64,RIPPONLEA 7A Los Angeles Court VIC 3185,680,2,1,0,House,-37.8984,145.0088
65,BEAUMARIS 286A Balcombe Rd VIC 3193,720,3,2,1,House,-37.9736,145.0164
66,CHADSTONE 11 Evans Street VIC 3148,590,3,2,2,House,-37.8833,145.1167
67,SOUTH YARRA 72 Oban Street VIC 3141,1300,3,2,2,House,-37.8333,144.9833
68,WODONGA 1a Clarendon Avenue VIC 3690,585,3,2,2,House,-36.0997,146.802
69,RICHMOND 24 Wertheim Street VIC 3121,625,2,2,1,House,-37.8271,145.0064
70,SOUTH YARRA 19 Tivoli Road VIC 3141,530,2,1,0,House,-37.8333,144.9833
71,WODONGA 1 Buckland Court VIC 3690,420,3,1,2,House,-36.0997,146.802
72,MOONEE PONDS 12 Vine Street VIC 3039,650,3,1,1,House,-37.7667,144.9167
73,OAK PARK 14 Forbes Grove VIC 3046,500,3,2,2,House,-37.7,144.9333
74,THORNBURY 146 Raleigh Street VIC 3071,850,3,2,1,House,-37.7583,145.0051
75,RICHMOND 2/94 Buckingham Street VIC 3121,600,2,1,1,House,-37.8271,145.0064
76,ROCKBANK 11 Taro Walk VIC 3335,360,3,2,1,House,46.4194,14.6936
77,WEIR VIEWS 27 Fellows Street VIC 3338,400,4,2,2,House,-37.7077,144.5749
78,THORNHILL PARK 18 Mclean Street VIC 3335,400,3,2,2,House,46.4194,14.6936
79,BRUNSWICK EAST 250A Stewart Street VIC 3057,750,3,2,2,House,-37.7603,144.9502
80,DEEPDENE 5 Whitehorse Road VIC 3103,850,4,3,3,House,-37.8117,145.081
81,MALVERN EAST 1 Thurso St VIC 3145,550,3,1,2,House,-37.874,145.0425
82,BRIGHTON EAST 26 Agnew St VIC 3187,675,2,1,1,House,-37.9014,145.0188
83,SPRINGVALE 4 Woodward Street VIC 3171,700,4,2,6,House,-37.9457,145.1581
84,KEYSBOROUGH 19 Somerset Drive VIC 3173,430,3,1,3,House,-37.9912,145.1739
85,CANTERBURY 31 Bryson Street VIC 3126,1100,4,2,2,House,-37.8247,145.0848
86,COBURG 25 Francis Street VIC 3058,650,3,2,0,House,-37.75,144.9667
87,SOUTH YARRA 122 Hope Street VIC 3141,775,2,1,2,House,-37.8333,144.9833
88,CLIFTON HILL 105 Field Street VIC 3068,950,4,2,1,House,-37.7865,144.9897
89,CHADSTONE 40 Atkinson Street VIC 3148,450,3,1,3,House,-37.8833,145.1167
90,BRIGHTON EAST 39 Comer Street VIC 3187,1100,4,2,2,House,-37.9014,145.0188
91,NORTHCOTE 57 Bent Street VIC 3070,570,2,1,0,House,-37.7667,145.0
92,GLEN WAVERLEY 34 Garrisson Drive VIC 3150,629,3,1,4,House,-37.8788603,145.1761642
93,KEW 90 Edgevale Road VIC 3101,1600,4,2,1,House,-37.8064,145.0309
94,GARDENVALE 53 Elster Avenue VIC 3185,950,3,2,2,House,-37.8984,145.0088
95,ST KILDA 17 Charles Street VIC 3182,650,2,1,2,House,-37.8633,144.9802
96,BURWOOD EAST 617 Highbury Road VIC 3151,700,4,2,5,House,-37.8535,145.1503
97,SOUTH YARRA 3 Barry Street VIC 3141,795,3,1,0,House,-37.8333,144.9833
98,CHADSTONE 2/28 Rae Street VIC 3148,600,3,2,2,House,-37.8833,145.1167
99,BOX HILL SOUTH 43 Neville Street VIC 3128,445,3,1,2,House,-37.8256,145.1232
100,MONT ALBERT NORTH 9 Braemar Street VIC 3129,650,3,1,2,House,-37.8004,145.1083
101,WEST FOOTSCRAY 18 Pitt Street VIC 3012,590,3,2,3,House,-37.8302,144.8709
102,DONCASTER EAST 2 Peter Street VIC 3109,640,5,2,2,House,-37.7795,145.1638
