,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,erp_2016,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,2016income
0,495,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
1,420,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
2,550,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
3,475,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
4,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
5,600,EAST MELBOURNE,2,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
6,950,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
7,750,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
8,450,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
9,1800,EAST MELBOURNE,3,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
10,450,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
11,770,EAST MELBOURNE,3,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
12,625,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
13,950,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
14,575,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
15,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
16,435,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
17,485,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
18,490,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,5475,6.0,42.0,138.0,3792
19,595,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
20,430,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
21,525,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
22,460,HIGHTON,2,1,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,22794,99.0,-101.0,270.0,13542
23,390,HIGHTON,2,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
24,3000,HIGHTON,3,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
25,540,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
26,620,HIGHTON,3,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
27,525,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
28,450,HIGHTON,1,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
29,500,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
30,540,HIGHTON,2,2,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,22794,99.0,-101.0,270.0,13542
31,530,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
32,480,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
33,410,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,22794,99.0,-101.0,270.0,13542
34,350,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,22794,99.0,-101.0,270.0,13542
35,375,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
36,350,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
37,345,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
38,540,CARLTON,2,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
39,350,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
40,650,CARLTON,2,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
41,435,CARLTON,1,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
42,360,CARLTON,2,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
43,1100,CARLTON,4,1,4,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,20242,91.0,-518.0,2020.0,8400
44,340,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
45,550,ST KILDA EAST,3,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
46,495,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
47,250,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
48,290,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
49,350,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
50,310,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
51,345,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
52,320,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
53,395,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
54,335,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
55,350,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
56,330,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
57,450,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
58,310,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
59,320,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
60,450,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
61,460,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
62,575,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
63,330,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
64,750,ST KILDA EAST,3,1,2,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
65,395,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
66,300,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
67,360,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
68,375,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,17613,195.0,-267.0,375.0,11686
69,395,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
70,375,ABBOTSFORD,2,1,0,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
71,440,ABBOTSFORD,1,1,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
72,425,ABBOTSFORD,1,1,0,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
73,350,ABBOTSFORD,1,1,0,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
74,410,ABBOTSFORD,1,1,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
75,600,ABBOTSFORD,2,1,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
76,650,ABBOTSFORD,2,2,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
77,560,ABBOTSFORD,2,2,2,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
78,550,ABBOTSFORD,2,2,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
79,625,ABBOTSFORD,2,2,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
80,420,ABBOTSFORD,1,1,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
81,390,ABBOTSFORD,1,1,1,-37.8046,144.9998,7600.5,846.1,719.2,1268.7,2600.4,839.4,8770,63.0,355.0,265.0,6365
82,370,BRUNSWICK WEST,1,1,1,-37.7603,144.9502,2004.8,1360.1,939.4,1291.1,2858.4,663.7,14523,97.0,-218.0,361.0,8887
83,450,BRUNSWICK WEST,2,2,1,-37.7603,144.9502,2004.8,1360.1,939.4,1291.1,2858.4,663.7,14523,97.0,-218.0,361.0,8887
84,380,BRUNSWICK WEST,2,1,1,-37.7603,144.9502,2004.8,1360.1,939.4,1291.1,2858.4,663.7,14523,97.0,-218.0,361.0,8887
85,430,BRUNSWICK WEST,2,1,1,-37.7603,144.9502,2004.8,1360.1,939.4,1291.1,2858.4,663.7,14523,97.0,-218.0,361.0,8887
