,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
0,495,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
1,495,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
2,420,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
3,420,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
4,550,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
5,550,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
6,475,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
7,475,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
8,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
9,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
