,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,erp_2016,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,2016income
0,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
1,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
2,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
3,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
4,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
5,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,17613,195.0,-267.0,375.0,11686
6,400,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
7,450,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
8,480,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
9,350,WODONGA,2,1,1,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
10,585,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
11,420,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
12,350,WODONGA,3,2,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
13,390,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
14,450,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
15,580,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
16,375,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
17,540,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
18,405,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
19,500,WODONGA,3,1,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,24919,223.0,301.0,136.0,14065
