,Unnamed: 0.1,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2023income,2023house_price,Unnamed: 0,erp_2023,net_internal_migration_2022_23,net_overseas_migration_2022_23,natural_increase_2022_23
0,0,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
1,1,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
2,2,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
3,3,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
4,4,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
5,5,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
6,6,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
7,7,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
8,8,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
9,9,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
10,10,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,370000.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
11,11,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4303.199999999983,641900.0,145,6476.5,-83.30000000000291,-250.8999999999941,-9.699999999999818
12,12,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,631400.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
13,13,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,607300.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
14,14,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,631400.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
15,15,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,607300.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
16,16,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,631400.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
17,17,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,607300.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
18,18,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,631400.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
19,19,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,607300.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
20,22,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,631400.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
21,23,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14094.699999999952,607300.0,41,19634.5,-696.8999999999942,-588.2999999999884,113.79999999999929
