,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
0,ALPINE10936,Jubilee Park & Swimming Pool,Lewis ,MYRTLEFORD,3737.0,-36.562971,146.724982,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Lewis  Avenue, MYRTLEFORD 3737",660 B7
1,ARARAT12867,Ararat Solar Olympic Swimming Pool,Vincent,ARARAT,3377.0,-37.28075,142.928877,50m Pool - Outdoor," Vincent Street, ARARAT 3377",554 E7
2,ARARAT12881,Lake Bolac Swimming Pool,Montgomery,LAKE BOLAC,3351.0,-37.719091,142.840212,25m Pool - Outdoor," Montgomery Street, LAKE BOLAC 3351",555 T9
3,ARARAT12893,Willaura Swimming Pool,Delacome,WILLLAURA,3379.0,-37.546062,142.745701,," Delacome Way, WILLLAURA 3379",555 T3
4,BALLAR12478,Black Hill Swimming Pool,Chisholm,BLACK HILL,3350.0,-37.548972,143.87247,"25m Pool - Outdoor, Toddlers Pool"," Chisholm Street, BLACK HILL 3350",566 G5
5,BALLAR12480,Brown Hill Swimming Pool,Humffray,BALLARAT,3350.0,-37.553057,143.89671,"30m Pool - Outdoor, Toddlers Pool"," Humffray Street, BALLARAT 3350",567 L6
6,BALLAR12485,Buninyong Swimming Pool,Forest,BUNINYONG,3357.0,-37.650262,143.888,"25m Pool - Outdoor, Toddlers Pool"," Forest Street, BUNINYONG 3357",578 J4
7,BALLAR12500,Eureka Swimming Complex,Stawell,BALLARAT,3350.0,-37.564234,143.885261,"50m Pool - Outdoor, Childrens Learning Pool, Recreation / Play Water Space, Toddlers Pool"," Stawell Street, BALLARAT 3350",566 J9
8,BALLAR12531,UniSports Swimming Pool,Gear,MOUNT HELEN,3350.0,-37.625507,143.890819,25m Pool - Indoor," Gear Avenue, MOUNT HELEN 3350",572 K11
9,BALLAR12539,Wendouree Swimming Pool,Dowling,WENDOUREE,3355.0,-37.536656,143.841276,"50m Pool - Outdoor, Childrens Learning Pool"," Dowling Street, WENDOUREE 3355",566 A3
10,BAWBAW12102,Rawson Indoor Swimming pool,Knotts Siding,RAWSON,3825.0,-37.956055,146.39877,," Knotts Siding Road, RAWSON 3825",81 H9
11,BAWBAW12096,Neerim South Swimming pool,Swaffield,NEERIM SOUTH,3831.0,-38.017088,145.95515,"25m Pool - Outdoor, Toddlers Pool"," Swaffield Lane, NEERIM SOUTH 3831",707 R10
12,BAWBAW12115,Trafalgar Swimming Pool,Lady Hamilton ,TRAFALGAR,3824.0,-38.211763,146.154839,"30m Pool - Outdoor, Toddlers Pool"," Lady Hamilton  Lane, TRAFALGAR 3824",703 R10
13,GREATE8643,Bendigo East Swimming Pool,Lansell,BENDIGO EAST,3550.0,-36.754394,144.294439,"50m Pool - Outdoor, Toddlers Pool"," Lansell Street, BENDIGO EAST 3550",608 A5
14,GREATE8651,Brennan Park Swimming Pool,Edwards,KENNINGTON,,-36.776913,144.30186,"50m Pool - Outdoor, Diving Pool, Toddlers Pool"," Edwards Road, KENNINGTON ",608 B10
15,GREATE8664,Elmore Swimming Pool,Elmore-Raywood,ELMORE,3558.0,-36.49233,144.606551,," Elmore-Raywood Road, ELMORE 3558",627 M2
16,GREATE8674,Golden Square Swimming Pool,Maple,GOLDEN SQUARE,3555.0,-36.770862,144.259202,"50m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Maple Street, GOLDEN SQUARE 3555",607 O9
17,GREATE8676,Goornong Swimming Pool,Bagshot,GOORNONG,3557.0,-36.618764,144.503956,," Bagshot Street, GOORNONG 3557",45 A3
18,GREATE8681,Heathcote Swimming Pool,Barrack,HEATHCOTE,3523.0,-36.923271,144.711957,," Barrack Street, HEATHCOTE 3523",626 F6
19,GREATE8685,Kangaroo Flat Swimming Pool,Station,KANGAROO FLAT,3555.0,-36.79329,144.240029,"30m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Station Street, KANGAROO FLAT 3555",613 L2
20,GREATE8692,Long Gully Swimming Pool,Bennett,LONG GULLY,3550.0,-36.74621,144.259888,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Bennett Street, LONG GULLY 3550",607 O3
21,GREATE8700,Marong Swimming Pool,Calder Alternative,MARONG,3515.0,-36.738618,144.132334,"25m Pool - Outdoor, Toddlers Pool"," Calder Alternative Highway, MARONG 3515",626 B11
22,GREATE8710,Raywood Swimming Pool,MacAuley,RAYWOOD,3570.0,-36.53367,144.203815,," MacAuley Street, RAYWOOD 3570",46 E2
23,GREATE8728,White Hills Swimming Pool,Hamelin,WHITE HILLS,3550.0,-36.724486,144.306237,," Hamelin Street, WHITE HILLS 3550",604 C10
24,BRIMBA8352,Flippers Swimming School,Trickey,SYDENHAM,3037.0,-37.697338,144.766512,,"50 Trickey Avenue, SYDENHAM 3037",3 C12
25,BULOKEBULOKE8734,Berriwillock Swimming Pool,Morris,BERRIWILLOCK,3531.0,-35.637231,142.995504,"Program Pool, Toddlers Pool"," Morris Street, BERRIWILLOCK 3531",18 H4
26,BULOKEBULOKE8739,Birchip Swimming Pool,Sherwood,BIRCHIP,3483.0,-35.981256,142.918717,"30m Pool - Outdoor, Toddlers Pool"," Sherwood Street, BIRCHIP 3483",588 J8
27,BULOKEBULOKE8756,Donald Swimming Pool,Woods,DONALD,3480.0,-36.375131,142.986551,"30m Pool - Outdoor, Toddlers Pool"," Woods Street, DONALD 3480",589 O10
28,BULOKEBULOKE8765,Sea Lake Swimming Pool,Horace,SEA LAKE,3533.0,-35.502697,142.850198,"30m Pool - Outdoor, Toddlers Pool"," Horace Street, SEA LAKE 3533",589 N2
29,BULOKEBULOKE8768,Watchem Swimming Pool,Camp,WATCHEM,3482.0,-36.148725,142.859556,"25m Pool - Outdoor, Toddlers Pool"," Camp Street, WATCHEM 3482",589 T5
30,BULOKEBULOKE8773,Wycheproof Swimming Pool,Charles,WYCHEPROOF,3527.0,-36.07291,143.228541,"30m Pool - Outdoor, Toddlers Pool"," Charles Street, WYCHEPROOF 3527",588 C6
31,CORANG12754,Camperdown Swimming Pool,Curdie,CAMPERDOWN,3260.0,-38.236659,143.149459,," Curdie Street, CAMPERDOWN 3260",517 O5
32,CORANG12760,Cobden Swimming Pool,Victoria,COBDEN,3266.0,-38.32556,143.078336,," Victoria Street, COBDEN 3266",518 D3
33,CORANG12766,Lismore Swimming Pool,Ferrers,LISMORE,3324.0,-37.955394,143.344467,," Ferrers Street, LISMORE 3324",516 D6
34,CORANG12777,Skipton Swimming Pool,Swimming Pool,SKIPTON,3361.0,-37.684072,143.369153,," Swimming Pool Road, SKIPTON 3361",518 D10
35,CORANG12786,Timboon Swimming Pool,Lambert,TIMBOON,3268.0,-38.486277,142.981087,," Lambert Street, TIMBOON 3268",516 J9
