Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,5411,5475,5661,5743,5918,6055
Estimated resident population - at 30 June,Population density (persons/km2),,1866,1888.1,1952.2,1980.5,2040.8,2088.1
Estimated resident population - at 30 June,Estimated resident population - males (no.),,2587,2616,2703,2736,2824,2916
Estimated resident population - at 30 June,Estimated resident population - females (no.),,2824,2859,2958,3007,3094,3139
Estimated resident population - at 30 June,Median age - males (years),,37.9,38.5,38.5,38.6,38.5,38.9
Estimated resident population - at 30 June,Median age - females (years),,37.5,37.6,37.5,37.5,38.1,38.5
Estimated resident population - at 30 June,Median age - persons (years),,37.7,38.1,38.1,38.1,38.3,38.8
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,4177,4195,4342,4374,4464,4504
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,77.2,76.6,76.7,76.2,75.4,74.4
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,98,86,97,86,92,99
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,46,49,38,33,37,46
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,38,35,37,43,49,35
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,47,47,50,46,50,52
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,183,190,200,198,195,197
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,385,381,397,414,422,417
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,347,331,334,348,358,389
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,236,253,269,260,279,282
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,150,158,166,160,174,188
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,155,155,147,149,130,120
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,156,152,159,155,150,145
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,159,165,169,179,183,196
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,181,173,188,175,191,195
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,162,168,159,176,177,200
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,108,127,142,153,164,159
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,58,63,67,74,81,104
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,35,35,35,33,38,41
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,43,48,49,54,54,51
Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,3.8,3.3,3.6,3.1,3.3,3.4
Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,1.8,1.9,1.4,1.2,1.3,1.6
Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,1.5,1.3,1.4,1.6,1.7,1.2
Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,1.8,1.8,1.8,1.7,1.8,1.8
Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,7.1,7.3,7.4,7.2,6.9,6.8
Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,14.9,14.6,14.7,15.1,14.9,14.3
Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,13.4,12.7,12.4,12.7,12.7,13.3
Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,9.1,9.7,10,9.5,9.9,9.7
Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,5.8,6,6.1,5.8,6.2,6.4
Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,6,5.9,5.4,5.4,4.6,4.1
Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,6,5.8,5.9,5.7,5.3,5
Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,6.1,6.3,6.3,6.5,6.5,6.7
Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,7,6.6,7,6.4,6.8,6.7
Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,6.3,6.4,5.9,6.4,6.3,6.9
Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,4.2,4.9,5.3,5.6,5.8,5.5
Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,2.2,2.4,2.5,2.7,2.9,3.6
Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,1.4,1.3,1.3,1.2,1.3,1.4
Estimated resident population - Males - at 30 June,Males - 85 and over (%),,1.7,1.8,1.8,2,1.9,1.7
Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,99,102,109,107,102,97
Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,50,49,56,54,70,73
Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,31,39,42,43,33,48
Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,52,50,54,61,66,65
Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,222,217,221,239,232,200
Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,441,439,459,439,447,434
Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,394,404,412,428,409,419
Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,231,225,231,230,261,291
Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,159,149,175,174,166,183
Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,144,152,160,165,167,151
Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,165,167,155,150,152,164
Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,169,170,192,200,221,209
Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,201,217,204,204,211,207
Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,158,150,147,172,201,223
Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,109,127,138,129,129,153
Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,57,54,66,83,95,105
Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,52,45,44,45,57,55
Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,90,103,93,84,75,62
Estimated resident population - Females - at 30 June,Females - 0-4 years (%),,3.5,3.6,3.7,3.6,3.3,3.1
Estimated resident population - Females - at 30 June,Females - 5-9 years (%),,1.8,1.7,1.9,1.8,2.3,2.3
Estimated resident population - Females - at 30 June,Females - 10-14 years (%),,1.1,1.4,1.4,1.4,1.1,1.5
Estimated resident population - Females - at 30 June,Females - 15-19 years (%),,1.8,1.7,1.8,2,2.1,2.1
