Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,31722,32686,33697,34659,35862,36252
Estimated resident population - at 30 June,Population density (persons/km2),,5106.2,5261.3,5424.1,5578.9,5772.6,5835.3
Estimated resident population - at 30 June,Estimated resident population - males (no.),,15587,16069,16611,17103,17763,18016
Estimated resident population - at 30 June,Estimated resident population - females (no.),,16135,16617,17086,17556,18099,18236
Estimated resident population - at 30 June,Median age - males (years),,33.3,33.3,33.4,33.6,33.8,34.2
Estimated resident population - at 30 June,Median age - females (years),,33,32.9,33,33.2,33.5,34
Estimated resident population - at 30 June,Median age - persons (years),,33.2,33.1,33.2,33.4,33.6,34.1
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,25284,26105,26897,27699,28655,28778
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,79.7,79.9,79.8,79.9,79.9,79.4
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,755,747,778,769,797,788
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,489,485,488,498,497,488
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,400,417,435,422,440,459
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,459,458,447,469,459,478
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,1227,1271,1287,1298,1300,1192
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,2755,2882,2955,2995,3070,2932
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,2446,2551,2667,2806,2980,3118
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,1480,1544,1627,1756,1923,2049
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,1146,1106,1158,1138,1198,1234
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,962,992,964,973,994,966
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,794,852,888,928,897,906
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,698,723,772,799,826,861
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,555,558,615,656,711,745
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,492,533,514,512,509,551
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,327,337,376,411,443,487
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,287,284,302,318,342,324
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,179,186,181,190,203,252
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,136,143,157,165,174,186
