,2015,2016,2017,2018,2019,prelim 2020
locality,Median,Median,Median,Median,Median,Median
ABBOTSFORD,530000,588000,583000,537500,517500,560000
ABERFELDIE,555000,510000,832500,760000,950000,420000
AIRPORT WEST,470000,535000,590000,605500,608000,675000
ALBERT PARK,850000,850000,662500,1300000,915000,2040000
ALBION,213500,246500,301000,350000,261000,360000
ALFREDTON,254000,285000,290000,242000,277000,230000
ALPHINGTON,582500,735500,643500,685500,713500,839000
ALTONA,550000,620000,630000,660000,625000,650000
ALTONA EAST,545000,567500,601000,675500,630000,776000
ALTONA MEADOWS,353500,365000,440500,457500,472500,455000
ALTONA NORTH,530000,532000,635000,650000,630000,621000
ANGLESEA,461500,570000,670000,690000,755000,NA
APOLLO BAY,375000,415000,415000,375000,534000,436000
ARARAT,170000,191500,133500,209000,207000,186000
ARDEER,350000,380000,472500,491000,531000,504000
ARMADALE,840000,779000,775000,650000,634000,655000
ASCOT VALE,522500,501000,550000,512000,516000,595000
ASHBURTON,1015000,1200000,1215000,922500,1144500,1233000
ASHWOOD,701500,811000,880000,874000,875000,752000
ASPENDALE,604000,685000,900000,800000,690500,774500
AVONDALE HEIGHTS,447500,512500,500000,550000,628000,685000
BACCHUS MARSH,279000,287000,305000,294000,393000,331500
BAIRNSDALE,216000,211500,225000,215000,215000,245000
BALACLAVA,494000,596500,590000,588500,565000,610000
BALLAN,315000,320000,340000,390000,337000,325000
BALLARAT CENTRAL,267000,275500,255000,278000,270000,455000
BALLARAT EAST,267000,230000,272500,282500,299500,329500
BALLARAT NORTH,241000,228000,226500,259000,275000,225000
BALWYN,815000,667000,799000,685000,875000,556000
BALWYN NORTH,972500,991500,950000,1000000,1010000,1223000
BARWON HEADS,640000,626000,805000,665000,938000,1390000
BAYSWATER,450000,460000,562500,585000,581000,540000
BAYSWATER NORTH,409000,444500,520000,525000,480000,512500
BEACONSFIELD,400500,398000,463000,460000,454000,425000
BEAUMARIS,896500,1018500,940000,900000,887500,1280000
BELL PARK,293000,316000,343000,392000,397500,382000
BELLFIELD (BANYULE),527500,477500,614500,665000,655000,602500
BELMONT,310000,300000,356000,388500,419000,471000
BENALLA,186000,181500,185000,185000,210000,186500
BENDIGO,282500,285000,281500,291500,275000,270000
BENTLEIGH,570000,617500,650000,655000,655000,630000
BENTLEIGH EAST,677500,715000,690000,760000,746000,807000
BERWICK,425000,427000,492000,515000,522500,520000
BITTERN,355000,340000,433000,497500,471500,520000
BLACK HILL,245000,186500,285000,260000,282500,222000
BLACK ROCK,820000,880000,945000,1125000,950000,1009000
BLACKBURN,591000,598500,593500,650000,685500,620000
BLACKBURN NORTH,715500,715000,790000,700000,760500,690000
BLACKBURN SOUTH,648500,767000,722500,660000,760000,1080500
BONBEACH,464000,537500,600000,620000,545000,550000
BORONIA,432500,485000,577000,592500,573000,587500
BOX HILL,495000,605000,548500,485000,519000,480000
BOX HILL NORTH,752000,825000,858500,740000,878000,830500
BOX HILL SOUTH,750000,779000,850000,726000,713000,812500
BRAYBROOK,441000,460000,514000,565000,556000,600000
BREAKWATER,295000,310000,317500,352500,360500,NA
BRIAR HILL,575000,641000,670000,667000,627500,516000
BRIGHT,260000,273000,349000,342500,450000,445000
BRIGHTON,845000,1000000,975000,1110000,1038000,970000
BRIGHTON EAST,962000,922500,965000,940000,990000,1036000
BROADMEADOWS,300000,330000,368000,420000,395000,367000
BROOKFIELD,212500,273000,335000,400000,455000,NA
BROOKLYN,447000,480000,550000,605000,567500,593000
BROWN HILL,249000,247500,255500,285000,297500,312000
BRUNSWICK,495000,500000,500000,502500,555000,540000
BRUNSWICK EAST,521000,510000,571000,539000,521000,550000
BRUNSWICK WEST,420000,467000,473000,450000,499000,517000
BULLEEN,722500,773500,789000,746000,727000,790000
BUNDOORA,410000,400000,430000,438500,400000,415000
BUNYIP,270000,327500,310000,250000,397500,434500
BURWOOD,598000,666000,750000,745000,740000,761000
BURWOOD EAST,660000,602500,857500,626000,660000,753000
CAIRNLEA,429000,392500,403000,429500,432500,NA
CALIFORNIA GULLY,246000,193500,225000,265000,188500,307500
CAMBERWELL,730000,729000,854000,927500,810000,855000
CAMPBELLFIELD,355000,340000,420000,361000,343000,472500
CANADIAN,270000,250000,279000,270500,301500,310000
CANTERBURY,1201000,986000,913000,975000,1210000,855000
CAPEL SOUND,400000,405000,500000,479000,540000,495000
CARLTON,543000,530500,421500,429000,407500,245500
CARLTON NORTH,560000,545000,652500,715000,592000,700000
CARNEGIE,540000,570000,594500,560000,621000,570000
CAROLINE SPRINGS,395000,395000,420000,462500,465000,486000
CARRUM,521000,542500,636500,670000,608000,628500
CARRUM DOWNS,319000,344000,387500,430000,431000,452500
CASTLEMAINE,317500,327500,332500,396500,420000,475000
CAULFIELD,622000,722500,719500,790000,750500,679000
CAULFIELD EAST,530000,322500,470000,303000,350000,470000
CAULFIELD NORTH,620000,585000,569000,660000,597000,584000
CAULFIELD SOUTH,750000,755000,762500,670000,707000,681000
CHADSTONE,515500,675000,765000,760000,801000,830000
CHELSEA,478500,525000,600000,612500,605500,662500
CHELSEA HEIGHTS,423500,495000,599000,585000,610500,744500
CHELTENHAM,508000,510000,629500,535000,575000,599000
CHELTENHAM EAST,506000,640500,655000,565000,590000,777000
CHELTENHAM NORTH,525000,550500,580000,574500,620000,700000
CHIRNSIDE PARK,464000,476500,495000,532500,610000,684000
CLARINDA,540500,515000,666000,641000,670000,675000
CLAYTON,590000,540000,560500,600000,681000,622500
CLAYTON NORTH,530000,629500,709000,622000,607000,156000
CLAYTON SOUTH,557500,475000,467500,505000,507500,597000
CLIFTON HILL,575000,736500,679000,749000,607500,384000
CLYDE NORTH,211000,372000,385000,460500,518500,NA
COBRAM,170000,195000,185000,180000,215000,212500
COBURG,480000,487000,497500,550000,542500,520000
COBURG EAST,530000,515000,575000,575000,623000,542000
COBURG NORTH,498500,525500,535000,600000,572000,627500
COLAC,203000,269500,225000,250000,310000,312000
COLLINGWOOD,544500,536500,600000,560000,591000,556000
CORIO,206500,215000,255000,295000,310000,282000
COWES,305000,290000,305000,310000,350000,308500
COWES WEST,337000,350000,389000,430000,439000,399000
CRAIGIEBURN,339500,349000,366000,393000,380000,368000
CRANBOURNE,281500,285000,358500,400000,362500,370000
CRANBOURNE EAST,379000,379000,418500,440000,427500,415000
CRANBOURNE NORTH,330500,375000,405000,407500,425000,405000
CRANBOURNE WEST,316000,379000,405000,390000,385000,421000
CREMORNE,680000,590000,570000,685000,870000,1605000
CRESWICK,129000,221000,212000,291500,307500,NA
CRIB POINT,305000,290000,340000,415000,405000,387500
CROYDON,449000,500000,560000,580000,567000,595000
CROYDON NORTH,482500,524500,615000,623000,610000,634500
CROYDON SOUTH,540500,560000,652500,695500,652000,720000
DALLAS,280000,268000,350000,372500,429000,380000
DANDENONG,320000,334500,360000,364000,337000,388500
DANDENONG NORTH,350000,407500,455000,477500,430000,486000
DARLEY,278500,273000,318500,311000,310000,315000
DAYLESFORD,325000,351000,385000,417500,535500,720000
DEEPDENE,810000,960500,1290000,1000000,1060000,1148000
DEER PARK,315000,345000,415000,447500,460000,405000
DELAHEY,346000,360000,375000,415000,400000,465500
DIAMOND CREEK,500000,585000,594500,601000,661000,615000
DINGLEY VILLAGE,505000,550000,580000,640000,600000,588000
DOCKLANDS,645000,651500,555000,587000,590000,472000
DONCASTER,577000,572500,599000,581000,620000,555000
DONCASTER EAST,685500,690000,651000,648000,796000,743000
DONVALE,655000,650000,714000,677500,756000,740000
DOREEN,135500,379000,365500,442500,430000,425000
DOVETON,315000,320000,380000,445500,400000,310000
DROMANA,400000,525000,521000,680000,585000,625000
DROUIN,247500,250500,285000,330000,334000,342500
DRYSDALE,303000,325000,309000,382500,392500,365000
EAGLEHAWK,237500,220000,228000,225000,242000,258000
EAGLEMONT,807500,725000,758000,1265000,785000,567500
EAST BENDIGO,270000,325000,337000,322000,331000,265000
EAST GEELONG,325000,369000,313000,385000,425500,395000
EAST MELBOURNE,700000,1280000,745000,750000,595000,692000
ECHUCA,255000,278000,283000,278000,269000,313500
EDITHVALE,482000,565000,697500,709000,694000,730000
ELSTERNWICK,558000,595000,705000,627000,600000,710000
ELTHAM,549000,562000,687500,656500,650000,755000
ELWOOD,615500,629500,664000,660000,672500,709000
ENDEAVOUR HILLS,405500,396000,457000,620500,497500,575000
EPPING,344000,349000,375000,370000,400000,370500
EPSOM,260000,272500,275000,291000,305000,320000
ESSENDON,511000,530000,520000,492000,520000,560000
ESSENDON NORTH,435000,477500,470000,400000,425000,457500
EUMEMMERRING,325000,341000,492500,414000,430000,384000
EUROA,194000,201500,235000,220000,239000,162500
FAIRFIELD,464000,600000,621500,509000,526500,675000
FAWKNER,370000,400000,473000,510000,477500,504000
FERNTREE GULLY,430000,510000,555000,599000,537500,600000
FISHERMANS BEND,914500,920000,934000,971500,883000,750500
FITZROY,657000,680000,750000,770000,755500,645000
FITZROY NORTH,608500,610000,581500,640000,640000,641000
FLEMINGTON,437500,415000,436000,440500,407500,369000
FLORA HILL,225000,240000,250000,247500,244500,260000
FOOTSCRAY,458000,440000,441000,425000,410000,463500
FOREST HILL,465000,637500,706500,700500,727500,730000
FOSTER,248000,260000,200000,200000,180000,292500
FRANKSTON,321000,334500,399000,440000,414500,412000
FRANKSTON NORTH,316000,306500,380000,414000,400000,NA
FRANKSTON SOUTH,430000,477000,550000,665000,615000,730000
GARDENVALE,315000,345000,560000,307500,641500,305000
GEELONG,473500,470000,594000,552500,547500,610000
GEELONG WEST,338500,378000,379000,391500,434000,317500
GISBORNE,435000,447500,450000,507500,510000,550000
GLEN HUNTLY,545000,572500,560000,595000,524000,538000
GLEN IRIS,590000,645000,775000,681000,630000,657500
GLEN WAVERLEY,651000,700000,830000,863000,847500,708000
GLENROY,415000,446000,500000,520000,529000,540000
GOLDEN POINT (BALLARAT),250000,232000,315000,310000,319500,365000
GOLDEN SQUARE,245000,250000,272000,250000,277000,267500
GREENSBOROUGH,490500,517500,622500,626000,633000,640500
GREENVALE,385000,395000,427500,485000,561500,525000
GROVEDALE,275000,302500,330000,359000,399000,435000
HADFIELD,383000,432000,535000,575500,502500,625000
HALLAM,350000,362500,405000,446000,415000,505000
HAMILTON,207000,195000,175000,168000,187500,187500
HAMLYN HEIGHTS,306500,326500,370000,436000,470000,421500
HAMPTON,750000,802000,877000,865000,775000,940000
HAMPTON EAST,643500,627500,615000,653000,597000,872500
HAMPTON PARK,339000,340000,390500,425000,400000,426000
HARKNESS,245000,277500,332000,365000,348500,369000
HASTINGS,295000,320000,340000,450000,390000,405000
HAWTHORN,579000,566000,584000,559000,540000,560000
HAWTHORN EAST,575000,662500,635000,619500,616500,650500
HEALESVILLE,360000,407500,435500,450000,475000,520000
HEATHMONT,550000,634500,656500,679000,638000,632500
HEIDELBERG,522500,550000,600000,612500,657500,670000
HEIDELBERG HEIGHTS,541000,536000,660500,665000,626000,735500
HEIDELBERG WEST,437500,470000,532500,580000,578500,596500
HERNE HILL,213000,226000,260000,277500,290000,419000
HIGHETT,580000,569000,567500,582000,665000,624500
HIGHTON,334000,358000,337500,390000,424000,445000
HILLSIDE (MELTON),345000,381000,436500,482000,460000,465000
HOPPERS CROSSING,290000,305000,370000,387500,400000,422500
HORSHAM,212500,227500,259500,248500,220000,208500
HUGHESDALE,605000,585000,601000,633000,622000,637500
HUNTINGDALE,498500,372500,432500,422500,661000,762500
INVERLOCH,317000,365000,360000,487500,515000,410000
IRYMPLE,230000,165000,207500,191500,135000,455000
IVANHOE,615000,597000,726000,685000,632500,635000
IVANHOE EAST,640000,755000,639500,695000,597000,710000
JACANA,330000,310000,421000,430000,410000,350000
JOLIMONT,755000,1602000,922000,1199000,1041500,1285500
JUNCTION VILLAGE,247000,260000,310000,275000,285000,265000
KANGAROO FLAT,240500,237500,213500,237500,240000,252500
KEILOR DOWNS,380500,382000,520000,550500,466000,478000
KEILOR EAST,580000,488000,663000,642500,642000,645000
KENNINGTON,77500,207500,315000,280000,267500,350000
KENSINGTON,477500,459000,500000,509000,518500,520000
KEW,680000,795000,750000,749500,804000,830000
KEW NORTH,636000,629000,1150000,837500,881000,1275000
KEYSBOROUGH,511000,490000,551000,577500,590500,672500
KILMORE,255000,275000,275000,315000,335000,339000
KILSYTH,425000,492500,545000,567500,568000,590000
KINGSBURY,400000,450000,485000,511000,547500,507000
KINGSVILLE,400000,407000,404000,437000,408000,462500
KNOXFIELD,562000,593500,625000,647500,625000,750000
KOO WEE RUP,270000,277500,361500,372500,415000,410000
KOOYONG,1170000,1410000,762500,935000,735000,NA
KORUMBURRA,198000,210000,221500,259000,311000,328000
KURUNJANG,261000,250000,309000,360000,372000,362000
KYABRAM,160000,199000,220000,227000,205000,220000
KYNETON,325000,360500,389000,408000,420000,425000
LAKE WENDOUREE,305000,313000,362500,442500,473500,459500
LAKES ENTRANCE,250000,252500,265000,257000,220000,330000
LALOR,327000,375500,440500,430000,442000,500000
LANGWARRIN,316500,356500,431000,460000,450500,457500
