address,price,beds,baths,parking,propertyTypeFormatted
EAST MELBOURNE 12/174 George Street VIC 3002,$495 per week,1,1,1,Apartment / Unit / Flat
BRIGHTON 210/26 Warleigh Grove VIC 3186,$595,2,2,1,Apartment / Unit / Flat
MELBOURNE 605/455 Elizabeth Street VIC 3000,$500 per week,2,1,0,Apartment / Unit / Flat
MELBOURNE 3510/500 Elizabeth Street VIC 3000,$580 per week,2,2,0,Apartment / Unit / Flat
MELBOURNE 309/402-408 La Trobe Street VIC 3000,$450 per week,2,1,0,Apartment / Unit / Flat
CARLTON G06/81 Cemetery Road VIC 3053,$375.00,1,1,0,Apartment / Unit / Flat
ST KILDA EAST 7/1A Hughenden Road VIC 3183,$340 pw,1,1,1,Apartment / Unit / Flat
MELBOURNE 11a/131 Lonsdale Sreet VIC 3000,$350 per week,1,1,0,Studio
ABBOTSFORD EG07/11 Flockhart Street VIC 3067,$375 per week,2,1,0,Apartment / Unit / Flat
BRUNSWICK WEST 10/5 Allard Street VIC 3055,$370.00,1,1,1,Apartment / Unit / Flat
EAST MELBOURNE 1105/162 Albert Street VIC 3002,$420 per week,2,1,1,Apartment / Unit / Flat
ARMADALE 6/6 Denbigh Road VIC 3143,$710 Per Week,2,2,1,Apartment / Unit / Flat
EAST MELBOURNE 107K/211 Powlett Street VIC 3002,$550 per week,1,1,1,Apartment / Unit / Flat
PORT MELBOURNE 409/108 Bay Street VIC 3207,$550 per week,1,2,1,Apartment / Unit / Flat
HAWTHORN 15/64 Auburn Rd VIC 3122,$330 weekly,1,1,1,Apartment / Unit / Flat
ELWOOD 205/95 Ormond Road VIC 3184,$410 weekly,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 603/101 River Street VIC 3141,$850 per week,2,2,2,Apartment / Unit / Flat
MONTMORENCY 2/14 Binns Street VIC 3094,$450 pw,2,1,2,Apartment / Unit / Flat
SOUTHBANK 602/250 City Road VIC 3006,$385 per week,1,1,0,Apartment / Unit / Flat
ELWOOD 7/23 Bendigo Avenue VIC 3184,$240 per week,1,1,1,Apartment / Unit / Flat
MURRUMBEENA 5/34 Bute Street VIC 3163,$340 weekly,1,1,1,Apartment / Unit / Flat
COLLINGWOOD 204/107 Cambridge Street VIC 3066,$480,1,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 10/663 Inkerman Road VIC 3161,$525 per week,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
GLEN IRIS 1492 Malvern Road VIC 3146,$230 per week,1,1,0,Apartment / Unit / Flat
PORT MELBOURNE 214/54 Nott Street VIC 3207,$440.00,1,1,1,Apartment / Unit / Flat
WODONGA 1/6 Rattray Avenue VIC 3690,$250 per week,2,1,1,Apartment / Unit / Flat
MOONEE PONDS 105/333 Ascot Vale Rd VIC 3039,$480 weekly,2,2,1,Apartment / Unit / Flat
WINDSOR 12/30 James Street VIC 3181,270,1,1,1,Apartment / Unit / Flat
MELBOURNE 918/422 Collins St VIC 3000,$600 Per week fully furnished,2,1,0,Apartment / Unit / Flat
BENTLEIGH 2/116 Jasper Road VIC 3204,$450.00,2,1,1,Apartment / Unit / Flat
FOOTSCRAY 1003/8 Joseph Road VIC 3011,$480 per week,2,2,1,Apartment / Unit / Flat
HAWTHORN 6/566 Glenferrie Road VIC 3122,$480.00,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 1203/77 River Street VIC 3141,$570 per week,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 1102/32 Bray Street VIC 3141,$525 per week,2,1,1,Apartment / Unit / Flat
RESERVOIR 2/24 O'Connor Street VIC 3073,$430.00,2,1,1,Apartment / Unit / Flat
MELBOURNE 911/408 Lonsdale Street VIC 3000,$330 per week,1,1,0,Apartment / Unit / Flat
HAWTHORN 3/23 Auburn Grove VIC 3122,$450.00,2,1,1,Apartment / Unit / Flat
ELWOOD 3/27 Ruskin Street VIC 3184,$550 weekly,2,1,1,Apartment / Unit / Flat
WODONGA 4/5 BELL COURT VIC 3690,$230,1,1,1,Apartment / Unit / Flat
FITZROY NORTH 204/378-390 St George Road VIC 3068,$800.00,2,2,1,Apartment / Unit / Flat
HAWTHORN 303/81 Riversdale Road VIC 3122,$500.00,2,2,1,Apartment / Unit / Flat
TOORAK 3/402 Toorak Road VIC 3142,$475.00,2,1,2,Apartment / Unit / Flat
WODONGA 4/4-6 WILSON STREET VIC 3690,$350,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
BRUNSWICK WEST 504/1 Olive York Way VIC 3055,$450 per week,2,2,1,Apartment / Unit / Flat
RINGWOOD 410/92 Maroondah Highway VIC 3134,$440 per week,2,2,1,Apartment / Unit / Flat
NOBLE PARK 10/10 Larbert Road VIC 3174,$240,1,1,1,Apartment / Unit / Flat
ABBOTSFORD 514/6 Acacia Place VIC 3067,$440 per week,1,1,1,Apartment / Unit / Flat
GEELONG WEST 3/47 Wellington Street VIC 3218,$340.00,2,1,1,Apartment / Unit / Flat
ABBOTSFORD 902/627 Victoria Street VIC 3067,$ 425 per week,1,1,0,Apartment / Unit / Flat
HIGHETT 314/284 Highett Rd VIC 3190,$430.00,2,1,1,Apartment / Unit / Flat
