SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
ABBOTSFORD,1230000,1370000,1470000,1107500,1340000,1321875
ABERFELDIE,1620000,1788000,1830000,1790000,2283000,1922750
AINTREE,687800,701500,695000,735000,742500,718500
AIREYS INLET,1365000,1601000,1360000,1835000,2030000,1706500
AIRPORT WEST,830000,887500,955000,990000,1020000,963125
ALBANVALE,577500,590000,615000,595000,620000,605000
ALBERT PARK,2015000,2390000,2444000,2195000,2300000,2332250
ALBION,720000,760000,867500,944500,820000,848000
ALEXANDRA,455000,400000,416000,440000,545000,450250
ALFREDTON,517800,585000,580000,656000,642500,615875
ALLANSFORD,425000,402500,348000,530000,540000,455125
ALPHINGTON,2035000,1850000,2300000,2095000,2541500,2196625
ALTONA,900000,1115000,1075000,1205000,1262500,1164375
ALTONA EAST,920000,915500,950000,957500,1133300,989075
ALTONA MEADOWS,680000,680800,700000,752500,730000,715825
ALTONA NORTH,830000,861100,994500,976000,1012500,961025
ANGLESEA,1375000,1200000,1355000,1510000,1702500,1441875
APOLLO BAY,775000,892500,935000,845000,997500,917500
ARARAT,243800,288000,260500,316000,350000,303625
ARDEER,630000,681500,707500,750000,725000,716000
ARMADALE,2802500,2700000,2650000,2550000,2410000,2577500
ARMSTRONG CREEK,551000,605500,668800,685500,716500,669075
ARTHURS SEAT,972500,972500,1525000,1215000,1600000,1328125
ASCOT (GREATER BENDIGO),472500,435300,545000,550000,660000,547575
ASCOT VALE,1215000,1210000,1310000,1353000,1351000,1306000
ASHBURTON,1655000,1777500,2000000,1852500,2250000,1970000
ASHWOOD,1271000,1350100,1434300,1465000,1490000,1434850
ASPENDALE,1095000,1150000,1250000,1362000,1450000,1303000
ASPENDALE GARDENS,970000,1070000,1110800,1140000,1200000,1130200
ATTWOOD,774800,1040000,940000,920000,1050000,987500
AVENEL,395000,475000,428000,495000,485500,470875
AVOCA,313000,268000,345000,360000,396000,342250
AVONDALE HEIGHTS,870000,900000,937500,1012500,1000000,962500
AVONSLEIGH,627500,751800,688300,890000,858000,797025
BACCHUS MARSH,518000,578500,596700,600000,580000,588800
BADGER CREEK,570000,631100,665000,690000,710000,674025
BAIRNSDALE,315000,325000,350000,350000,400000,356250
BALACLAVA,1272000,1700000,1515000,1512500,1546500,1568500
BALCOMBE,1385000,1479000,1673500,2070000,1935000,1789375
BALLAN,500000,600000,590000,612500,614500,604250
BALLARAT CENTRAL,577500,565000,710000,692000,870000,709250
BALLARAT EAST,460000,437500,487500,501000,510000,484000
BALLARAT NORTH,480000,547000,554900,550000,580000,557975
BALNARRING,979500,1100000,1410000,1370000,1310500,1297625
BALNARRING BEACH,1250000,1312000,2700000,1535000,3400000,2236750
BALWYN,2358000,2636500,2717500,2840000,2750000,2736000
BALWYN NORTH,1850000,2065000,2156000,2379000,2407000,2251750
BANDIANA,570000,437500,427500,469000,464100,449525
BANNOCKBURN,594000,620000,650000,710000,745000,681250
BARANDUDA,436000,471400,472000,602500,538000,520975
BARNAWARTHA,320000,357000,390000,485000,332500,391125
BARWON HEADS,1400000,1395000,1857500,1525000,1780000,1639375
BAXTER,575000,590900,669400,730000,722000,678075
BAYSWATER,751000,850800,870000,897500,895000,878325
BAYSWATER NORTH,731000,830000,818000,894500,888000,857625
BEACONSFIELD,712000,862500,861500,860500,956500,885250
BEACONSFIELD UPPER,890000,910000,827600,1137500,907700,945700
BEAUFORT,362500,348000,340000,517500,395000,400125
BEAUMARIS,1710000,1866000,2050000,2230000,2212500,2089625
BEECHWORTH,580000,555000,640600,654500,650000,625025
BELGRAVE,710000,730000,792500,822500,818000,790750
BELGRAVE HEIGHTS,800000,740000,1052000,922500,980000,923625
BELGRAVE SOUTH,891300,770000,1100000,1143700,1125000,1034675
BELL PARK,500000,565000,583000,655000,705000,627000
BELL POST HILL,533000,555000,591000,665000,703500,628625
BELLFIELD (BANYULE),875000,932800,913000,1000000,1080000,981450
BELMONT,610000,745000,703500,713000,752500,728500
BENALLA,322600,352500,385000,355000,435000,381875
BENDIGO,557500,610000,575500,562500,630000,594500
BENTLEIGH,1587500,1600000,1622500,1850000,1797500,1717500
BENTLEIGH EAST,1305000,1368500,1450000,1527300,1505000,1462700
BERWICK,706500,790000,824000,820000,907500,835375
BEVERIDGE,540000,615000,615900,645000,690000,641475
BIRCHIP,131300,120000,120000,295000,149000,171000
BIRREGURRA,525000,735000,695000,560500,705000,673875
BITTERN,670000,690000,720000,807500,823700,760300
BLACK HILL,530000,512500,563000,510000,635000,555125
BLACK ROCK,1875000,2450000,2480000,2002500,2805000,2434375
BLACKBURN,1550000,1600000,1638500,1600000,1700000,1634625
BLACKBURN NORTH,1107500,1226500,1276300,1337500,1356000,1299075
BLACKBURN SOUTH,1100000,1260000,1340000,1316000,1367500,1320875
BLACKWOOD,490000,680000,550000,642000,751300,655825
BLAIRGOWRIE,1446000,1400000,1402000,1725000,1645000,1543000
BLIND BIGHT,600000,605000,607000,740000,677500,657375
BONBEACH,963800,930000,1170000,1150000,1350000,1150000
BONNIE BROOK,-,-,677000,670000,701000,682666.666666667
BONNIE DOON,430000,470000,565000,565000,850000,612500
BONSHAW,470000,505000,525000,550000,582500,540625
BOOLARRA,262500,308000,360000,389500,389500,361750
BOORT,172500,180000,255000,190500,365000,247625
BORONIA,721000,785000,825000,865000,881500,839125
BOTANIC RIDGE,725000,780500,905000,895000,937500,879500
BOX HILL,1481300,1578000,1718000,1510000,1640000,1611500
BOX HILL NORTH,1183800,1290000,1220000,1342500,1390000,1310625
BOX HILL SOUTH,1264000,1385000,1520000,1559000,1660500,1531125
BRAYBROOK,689000,727000,770000,772500,793000,765625
BREAKWATER,407000,485000,514400,580400,585000,541200
BRIAGOLONG,292000,405700,365500,335000,420000,381550
BRIAR HILL,925800,940500,1000500,1130000,1035500,1026625
BRIDGEWATER ON LODDON,350000,331000,389000,410000,240000,342500
BRIGHT,758000,819000,920000,1021300,1187500,986950
BRIGHTON,3420500,3520000,3606000,3400000,3370000,3474000
BRIGHTON EAST,2087500,2125000,2245000,2450000,2356300,2294075
BROADFORD,465500,510000,477500,502500,610000,525000
BROADMEADOWS,556800,568300,595000,590000,618000,592825
BROOKFIELD,509000,503500,520000,550000,575000,537125
BROOKLYN,750000,836500,880000,902500,850000,867250
BROWN HILL,537500,560000,580000,595000,722500,614375
BRUNSWICK,1115000,1300000,1321000,1352500,1380000,1338375
BRUNSWICK EAST,1307000,1400000,1452500,1280000,1435000,1391875
BRUNSWICK WEST,1250500,1415000,1385000,1260000,1322000,1345500
BRUTHEN,361000,292500,250000,345000,357000,311125
BULLEEN,1052500,1307500,1306500,1340000,1530000,1371000
BUNDALONG,977500,606000,650000,850000,916500,755625
BUNDOORA,751000,813000,840000,910000,905000,867000
BUNINYONG,548000,680000,600000,720000,665000,666250
BUNYIP,540000,565000,650000,723300,720000,664575
BURNSIDE,663000,701000,658500,710000,752000,705375
BURNSIDE HEIGHTS,677500,686000,685000,680000,740000,697750
BURWOOD,1309000,1395000,1372000,1500000,1475000,1435500
BURWOOD EAST,1106000,1191000,1301000,1274000,1305000,1267750
CAIRNLEA,810000,740500,850000,800000,900000,822625
CALIFORNIA GULLY,330000,369500,397500,430000,452000,412250
CAMBERWELL,2057500,2405500,2512500,2650000,2650000,2554500
CAMPBELLFIELD,547500,610000,590000,600000,618000,604500
CAMPBELLS CREEK,642500,622500,500000,615000,717500,613750
CAMPERDOWN,315000,325000,365000,297500,494300,370450
CANADIAN,495000,445000,487500,567500,545000,511250
CANTERBURY,3250000,2975000,3890000,3494000,3390000,3437250
CAPE PATERSON,620000,668000,746100,815000,1110000,834775
CAPE SCHANCK,1185000,1330000,1850000,1181000,1380000,1435250
CAPEL SOUND,588000,687500,765000,808300,875000,783950
CARISBROOK,444500,289000,367000,361000,370000,346750
CARLTON,1490000,1367500,1670000,1280000,1705000,1505625
CARLTON NORTH,1455000,1605000,1696500,1830000,1655000,1696625
CARNEGIE,1612500,1670000,1800000,1920100,1821000,1802775
CAROLINE SPRINGS,628000,670000,720000,730800,750000,717700
CARRUM,795000,937500,952500,1001000,1062500,988375
CARRUM DOWNS,587000,649000,668300,676500,737500,682825
CASTERTON,192000,183500,187000,195000,350000,228875
CASTLEMAINE,585000,658500,655000,620000,739000,668125
CAULFIELD,1806000,2065500,2124500,2081000,1950000,2055250
CAULFIELD NORTH,2335000,2550000,2460000,2412500,2700000,2530625
CAULFIELD SOUTH,1765000,1705000,2101000,1807000,1985000,1899500
CHADSTONE,1095000,1105000,1211000,1251500,1350000,1229375
CHARLEMONT,496500,530000,617500,650000,682500,620000
CHARLTON,150000,164000,189000,202500,252500,202000
CHELSEA,983800,1117000,1311000,1122500,1240000,1197625
CHELSEA HEIGHTS,820000,945000,950000,1002000,995000,973000
CHELTENHAM,1201000,1215000,1321000,1360000,1387500,1320875
CHELTENHAM EAST,1040000,1070000,1110000,1325000,1195500,1175125
CHELTENHAM NORTH,906300,1141500,1165000,840000,1100000,1061625
CHEWTON,632500,632000,540000,585000,832500,647375
CHILTERN,353800,290000,410000,400000,325000,356250
CHIRNSIDE PARK,805000,820000,880500,937000,930000,891875
CHURCHILL,247500,265000,292500,316500,347000,305250
CLARINDA,850000,1004500,1020000,990000,1152500,1041750
CLAYTON,1066000,1070000,1220000,1265500,1141300,1174200
