station,the_geom,pids,he_loop,lift
Alamein,POINT (145.07955800000002 -37.86884299999997),No,No,No
Albion,POINT (144.82470999999998 -37.77765599999998),Dot Matrix,No,No
Alphington,POINT (145.031251 -37.77839599999999),Dot Matrix,No,No
Altona,POINT (144.830604 -37.86724899999996),LCD,No,No
Anstey,POINT (144.96056099999998 -37.761897999999974),No,No,No
Armadale,POINT (145.01937400000008 -37.856434999999976),Dot Matrix,No,No
Ascot Vale,POINT (144.92188399999998 -37.775420999999994),No,No,No
Ashburton,POINT (145.081416 -37.861767999999984),No,No,No
Aspendale,POINT (145.10200700000007 -38.02704499999999),No,No,No
Auburn,POINT (145.045617 -37.82241099999999),No,No,No
Balaclava,POINT (144.993516 -37.86974699999996),Dot Matrix,No,No
Batman,POINT (144.96274700000004 -37.73345899999998),No,No,No
Baxter,POINT (145.160487 -38.194222999999965),No,No,No
Bayswater,POINT (145.26826700000004 -37.84186299999999),LCD,Yes,Yes
Beaconsfield,POINT (145.36604499999999 -38.050928),No,No,No
Belgrave,POINT (145.35529100000008 -37.90909899999997),Dot Matrix,No,No
Bell,POINT (145.000181 -37.74556799999999),Dot Matrix,No,No
Bentleigh,POINT (145.03689400000007 -37.91779299999996),LCD,Yes,Yes
Berwick,POINT (145.34497299999998 -38.03968099999997),Dot Matrix,No,No
Bittern,POINT (145.1777390000001 -38.33774699999998),No,No,No
Blackburn,POINT (145.15019700000005 -37.82015799999999),Dot Matrix,No,Yes
Bonbeach,POINT (145.11974500000008 -38.062926000000004),Dot Matrix,No,No
Boronia,POINT (145.28429700000004 -37.859830999999986),Dot Matrix,No,Yes
Box Hill,POINT (145.1218 -37.81927399999995),CRT,No,Yes
Brighton Beach,POINT (144.989193 -37.92625499999997),Dot Matrix,No,No
Broadmeadows,POINT (144.91937000000007 -37.683362999999986),Dot Matrix,No,No
Brunswick,POINT (144.95955800000002 -37.767944),No,No,No
Burnley,POINT (145.0076200000001 -37.827631),Dot Matrix,No,No
Burwood,POINT (145.08036800000002 -37.851350999999966),Dot Matrix,No,No
Camberwell,POINT (145.0586820000001 -37.826607999999965),Dot Matrix,No,No
Canterbury,POINT (145.08076900000003 -37.824703),No,No,No
Carnegie,POINT (145.05857600000002 -37.886236999999994),No,No,No
Carrum,POINT (145.122653 -38.07593699999995),Dot Matrix,No,No
Caulfield,POINT (145.04274600000008 -37.87768299999999),Dot Matrix,No,No
Chatham,POINT (145.08892300000002 -37.824276),No,No,No
Chelsea,POINT (145.11623100000008 -38.05239499999999),Dot Matrix,No,No
Cheltenham,POINT (145.05477200000007 -37.966943999999955),Dot Matrix,No,No
Clayton,POINT (145.12056700000005 -37.92470199999997),LCD,No,No
Clifton Hill,POINT (144.995495 -37.78822399999996),Dot Matrix,No,No
Coburg,POINT (144.963347 -37.742411000000004),Dot Matrix,No,No
Collingwood,POINT (144.993743 -37.80454299999997),No,No,No
Craigieburn,POINT (144.94301200000007 -37.602716999999984),Dot Matrix,Yes,No
Cranbourne,POINT (145.28000700000007 -38.099177),Dot Matrix,No,No
Crib Point,POINT (145.20423600000004 -38.36620499999998),No,No,No
Croxton,POINT (144.99709900000005 -37.76385399999998),LCD,No,No
Croydon,POINT (145.27988400000004 -37.79575399999999),Dot Matrix,No,No
Dandenong,POINT (145.20963900000004 -37.989934000000005),Dot Matrix,No,Yes
Darebin,POINT (145.03862200000003 -37.77481599999999),No,No,No
Darling,POINT (145.06267300000002 -37.868682999999976),Dot Matrix,No,No
Dennis,POINT (145.00824 -37.77918299999999),LCD,No,No
Diamond Creek,POINT (145.15873800000008 -37.67332899999997),No,No,No
Diggers Rest,POINT (144.71997900000008 -37.62774299999995),Dot Matrix,No,No
Eaglemont,POINT (145.05370300000004 -37.76377099999996),No,No,No
East Camberwell,POINT (145.06832400000008 -37.825759000000005),No,No,No
East Malvern,POINT (145.06928500000004 -37.877025),No,No,No
East Richmond,POINT (144.997254 -37.82646599999998),Dot Matrix,No,No
Edithvale,POINT (145.10852699999998 -38.03813299999996),Dot Matrix,No,No
Elsternwick,POINT (145.00097300000004 -37.88484799999998),Dot Matrix,No,No
Eltham,POINT (145.14772600000003 -37.713438),Dot Matrix,No,No
Epping,POINT (145.02860700000008 -37.65301699999998),Dot Matrix,Yes,Yes
Essendon,POINT (144.916198 -37.75600799999995),Dot Matrix,No,No
Fairfield,POINT (145.016801 -37.77918599999998),Dot Matrix,No,No
Fawkner,POINT (144.96055 -37.71468199999998),No,No,No
Ferntree Gully,POINT (145.29517099999998 -37.88159299999995),Dot Matrix,No,No
Flagstaff,POINT (144.95644700000003 -37.811826999999994),LCD,Yes,Yes
Flemington Bridge,POINT (144.93932200000006 -37.78813699999995),No,No,No
Flinders Street,POINT (144.966997 -37.81832099999997),LCD,Plat 1 only,Yes
Footscray,POINT (144.902378 -37.801694999999995),Dot Matrix,Yes,Yes
Frankston,POINT (145.12601000000006 -38.14326399999999),Dot Matrix,No,No
Gardenvale,POINT (145.00426900000002 -37.89614799999998),No,No,No
Gardiner,POINT (145.05162400000006 -37.853275999999994),LCD,Yes,Yes
Ginifer,POINT (144.80964300000005 -37.75758099999996),LCD,Yes,Yes
Glen Iris,POINT (145.058223 -37.859307),Dot Matrix,No,No
Glen Waverley,POINT (145.1630590000001 -37.87978499999997),Dot Matrix,No,No
Glenbervie,POINT (144.920932 -37.747187),No,No,No
Glenferrie,POINT (145.0364380000001 -37.82146599999999),Dot Matrix,No,No
Glenhuntly,POINT (145.04222000000004 -37.88912799999997),Dot Matrix,No,No
Glenroy,POINT (144.91724599999998 -37.704638999999986),Dot Matrix,No,No
Gowrie,POINT (144.95887900000002 -37.700751999999966),Dot Matrix,No,No
Greensborough,POINT (145.108164 -37.703981999999996),Dot Matrix,No,No
Hallam,POINT (145.269773 -38.01774399999999),No,No,No
Hampton,POINT (145.001216 -37.93787599999996),No,No,No
Hartwell,POINT (145.07541700000002 -37.843763999999965),Dot Matrix,No,No
Hastings,POINT (145.18598400000008 -38.305454),No,No,No
Hawksburn,POINT (145.00209500000005 -37.844667999999956),Dot Matrix,No,No
Hawthorn,POINT (145.02308800000003 -37.821838999999954),Dot Matrix,No,No
Heatherdale,POINT (145.21189500000003 -37.818922999999984),LCD,Yes,Yes
Heathmont,POINT (145.24430600000005 -37.827849999999955),Dot Matrix,No,No
Heidelberg,POINT (145.060927 -37.75714899999997),Dot Matrix,No,No
Heyington,POINT (145.02263400000004 -37.83466999999996),No,No,No
Highett,POINT (145.04163400000004 -37.948095999999964),Dot Matrix,No,No
Holmesglen,POINT (145.091183 -37.874292999999966),Dot Matrix,No,No
Hoppers Crossing,POINT (144.70104700000002 -37.88326999999998),Dot Matrix,No,No
Hughesdale,POINT (145.0776400000001 -37.89487699999995),No,No,No
Huntingdale,POINT (145.102398 -37.91099299999996),Dot Matrix,No,No
