Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,6405,6453,6814,6924,7008,6904
Estimated resident population - at 30 June,Population density (persons/km2),,4262.3,4294.3,4534.5,4607.7,4663.6,4594.4
Estimated resident population - at 30 June,Estimated resident population - males (no.),,3053,3027,3214,3242,3287,3255
Estimated resident population - at 30 June,Estimated resident population - females (no.),,3352,3426,3600,3682,3721,3649
Estimated resident population - at 30 June,Median age - males (years),,36.6,37,35.7,36.2,36.4,36.6
Estimated resident population - at 30 June,Median age - females (years),,35.6,36.3,35.5,35.5,35.5,36.1
Estimated resident population - at 30 June,Median age - persons (years),,36,36.6,35.6,35.8,35.9,36.3
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,4668,4709,5049,5151,5231,5108
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,72.9,73,74.1,74.4,74.6,74
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,114,106,118,113,120,116
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,79,75,87,83,80,83
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,79,60,58,52,58,69
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,129,152,164,159,112,92
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,223,218,232,244,248,238
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,411,402,449,434,439,401
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,413,407,457,461,487,499
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,240,232,235,246,281,312
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,185,189,202,213,219,214
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,164,154,166,161,163,156
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,156,153,140,149,150,146
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,147,145,146,162,196,187
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,159,156,182,175,157,145
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,177,171,163,183,169,191
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,143,157,164,170,187,180
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,99,112,116,104,97,114
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,51,48,58,62,70,77
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,84,90,77,71,54,35
Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,3.7,3.5,3.7,3.5,3.7,3.6
Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,2.6,2.5,2.7,2.6,2.4,2.5
Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,2.6,2,1.8,1.6,1.8,2.1
Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,4.2,5,5.1,4.9,3.4,2.8
Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,7.3,7.2,7.2,7.5,7.5,7.3
Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,13.5,13.3,14,13.4,13.4,12.3
Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,13.5,13.4,14.2,14.2,14.8,15.3
Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,7.9,7.7,7.3,7.6,8.5,9.6
Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,6.1,6.2,6.3,6.6,6.7,6.6
Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,5.4,5.1,5.2,5,5,4.8
Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,5.1,5.1,4.4,4.6,4.6,4.5
Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,4.8,4.8,4.5,5,6,5.7
Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,5.2,5.2,5.7,5.4,4.8,4.5
Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,5.8,5.6,5.1,5.6,5.1,5.9
Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,4.7,5.2,5.1,5.2,5.7,5.5
