Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,18626,20288,22210,24424,26321,27444
Estimated resident population - at 30 June,Population density (persons/km2),,6058.6,6599.2,7224.4,7944.6,8561.6,8926.9
Estimated resident population - at 30 June,Estimated resident population - males (no.),,9481,10284,11234,12389,13342,13922
Estimated resident population - at 30 June,Estimated resident population - females (no.),,9145,10004,10976,12035,12979,13522
Estimated resident population - at 30 June,Median age - males (years),,30.7,30.8,31.1,31.8,32.2,33.1
Estimated resident population - at 30 June,Median age - females (years),,29.7,29.7,29.9,30.4,31.1,31.9
Estimated resident population - at 30 June,Median age - persons (years),,30.2,30.3,30.5,31.1,31.7,32.5
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,16646,18128,19775,21640,22977,23610
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,89.4,89.4,89,88.6,87.3,86
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,316,316,351,351,366,401
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,106,122,162,197,245,244
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,65,72,73,104,126,149
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,359,387,385,391,427,391
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,1530,1647,1733,1795,1874,1741
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,2094,2257,2403,2511,2567,2535
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,1685,1868,2072,2204,2308,2365
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,931,1027,1188,1354,1428,1606
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,545,577,612,690,775,894
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,395,420,500,568,648,697
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,382,402,427,516,569,598
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,294,343,391,498,549,606
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,253,273,290,434,457,515
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,234,258,290,309,384,407
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,135,156,171,247,304,378
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,81,86,109,112,149,197
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,47,40,43,72,105,116
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,29,33,34,36,61,82
Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,3.3,3.1,3.1,2.8,2.7,2.9
Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,1.1,1.2,1.4,1.6,1.8,1.8
Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,0.7,0.7,0.6,0.8,0.9,1.1
Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,3.8,3.8,3.4,3.2,3.2,2.8
Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,16.1,16,15.4,14.5,14,12.5
Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,22.1,21.9,21.4,20.3,19.2,18.2
Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,17.8,18.2,18.4,17.8,17.3,17
Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,9.8,10,10.6,10.9,10.7,11.5
Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,5.7,5.6,5.4,5.6,5.8,6.4
Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,4.2,4.1,4.5,4.6,4.9,5
Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,4,3.9,3.8,4.2,4.3,4.3
