Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,27349,28166,28934,29886,30453,30772
Estimated resident population - at 30 June,Population density (persons/km2),,7010.8,7220.2,7417.1,7661.1,7806.5,7888.2
Estimated resident population - at 30 June,Estimated resident population - males (no.),,13890,14257,14673,15165,15475,15651
Estimated resident population - at 30 June,Estimated resident population - females (no.),,13459,13909,14261,14721,14978,15121
Estimated resident population - at 30 June,Median age - males (years),,35,35.1,35.2,35.2,35.3,35.8
Estimated resident population - at 30 June,Median age - females (years),,33.8,33.8,34,34.1,34.5,35.1
Estimated resident population - at 30 June,Median age - persons (years),,34.4,34.5,34.6,34.7,34.9,35.5
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,22709,23264,23864,24565,25018,25098
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,83,82.6,82.5,82.2,82.2,81.6
Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,452,450,485,507,487,518
Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,323,349,348,354,357,352
Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,233,255,263,292,300,326
Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,304,312,293,307,293,308
Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,1070,1092,1078,1109,1098,959
Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,2327,2337,2369,2376,2405,2280
Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,2222,2304,2429,2546,2654,2700
Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,1415,1459,1563,1667,1778,1904
Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,1125,1084,1072,1087,1057,1125
Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,891,907,933,944,950,933
Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,910,911,905,882,856,858
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,716,796,858,905,961,947
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,604,628,623,630,661,734
Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,507,523,541,577,582,584
Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,321,354,389,435,462,522
Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,193,208,238,255,272,306
Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,129,132,135,149,163,165
Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,148,156,151,143,139,130
Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,3.3,3.2,3.3,3.3,3.1,3.3
Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,2.3,2.4,2.4,2.3,2.3,2.2
Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,1.7,1.8,1.8,1.9,1.9,2.1
Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,2.2,2.2,2,2,1.9,2
Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,7.7,7.7,7.3,7.3,7.1,6.1
Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,16.8,16.4,16.1,15.7,15.5,14.6
Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,16,16.2,16.6,16.8,17.2,17.3
Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,10.2,10.2,10.7,11,11.5,12.2
Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,8.1,7.6,7.3,7.2,6.8,7.2
Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,6.4,6.4,6.4,6.2,6.1,6
Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,6.6,6.4,6.2,5.8,5.5,5.5
Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,5.2,5.6,5.8,6,6.2,6.1
Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,4.3,4.4,4.2,4.2,4.3,4.7
Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,3.7,3.7,3.7,3.8,3.8,3.7
Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,2.3,2.5,2.7,2.9,3,3.3
Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,1.4,1.5,1.6,1.7,1.8,2
Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,0.9,0.9,0.9,1,1.1,1.1
Estimated resident population - Males - at 30 June,Males - 85 and over (%),,1.1,1.1,1,0.9,0.9,0.8
Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,485,506,518,530,526,537
Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,335,358,351,368,372,377
Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,225,236,233,266,283,300
Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,305,337,317,315,272,256
Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,1303,1345,1341,1316,1238,1069
Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,2400,2459,2519,2603,2611,2505
Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,2091,2145,2244,2309,2418,2486
Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,1273,1298,1372,1450,1545,1655
Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,1009,955,922,997,991,1053
Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,815,869,940,909,955,979
Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,769,788,763,802,795,802
Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,641,692,751,802,830,863
Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,519,546,572,609,650,682
Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,434,462,449,450,471,501
Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,231,268,327,372,402,433
Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,193,207,216,205,205,224
Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,150,139,153,165,182,189
Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,281,299,273,253,232,210
Estimated resident population - Females - at 30 June,Females - 0-4 years (%),,3.6,3.6,3.6,3.6,3.5,3.6
Estimated resident population - Females - at 30 June,Females - 5-9 years (%),,2.5,2.6,2.5,2.5,2.5,2.5
Estimated resident population - Females - at 30 June,Females - 10-14 years (%),,1.7,1.7,1.6,1.8,1.9,2
Estimated resident population - Females - at 30 June,Females - 15-19 years (%),,2.3,2.4,2.2,2.1,1.8,1.7
Estimated resident population - Females - at 30 June,Females - 20-24 years (%),,9.7,9.7,9.4,8.9,8.3,7.1
Estimated resident population - Females - at 30 June,Females - 25-29 years (%),,17.8,17.7,17.7,17.7,17.4,16.6
Estimated resident population - Females - at 30 June,Females - 30-34 years (%),,15.5,15.4,15.7,15.7,16.1,16.4
Estimated resident population - Females - at 30 June,Females - 35-39 years (%),,9.5,9.3,9.6,9.8,10.3,10.9
Estimated resident population - Females - at 30 June,Females - 40-44 years (%),,7.5,6.9,6.5,6.8,6.6,7
Estimated resident population - Females - at 30 June,Females - 45-49 years (%),,6.1,6.2,6.6,6.2,6.4,6.5
Estimated resident population - Females - at 30 June,Females - 50-54 years (%),,5.7,5.7,5.4,5.4,5.3,5.3
Estimated resident population - Females - at 30 June,Females - 55-59 years (%),,4.8,5,5.3,5.4,5.5,5.7
Estimated resident population - Females - at 30 June,Females - 60-64 years (%),,3.9,3.9,4,4.1,4.3,4.5
Estimated resident population - Females - at 30 June,Females - 65-69 years (%),,3.2,3.3,3.1,3.1,3.1,3.3
Estimated resident population - Females - at 30 June,Females - 70-74 years (%),,1.7,1.9,2.3,2.5,2.7,2.9
Estimated resident population - Females - at 30 June,Females - 75-79 years (%),,1.4,1.5,1.5,1.4,1.4,1.5
Estimated resident population - Females - at 30 June,Females - 80-84 years (%),,1.1,1,1.1,1.1,1.2,1.2
Estimated resident population - Females - at 30 June,Females - 85 and over (%),,2.1,2.1,1.9,1.7,1.5,1.4
Estimated resident population - Persons - at 30 June,Persons - 0-4 years (no.),,937,956,1003,1037,1013,1055
Estimated resident population - Persons - at 30 June,Persons - 5-9 years (no.),,658,707,699,722,729,729
Estimated resident population - Persons - at 30 June,Persons - 10-14 years (no.),,458,491,496,558,583,626
Estimated resident population - Persons - at 30 June,Persons - 15-19 years (no.),,609,649,610,622,565,564
Estimated resident population - Persons - at 30 June,Persons - 20-24 years (no.),,2373,2437,2419,2425,2336,2028
Estimated resident population - Persons - at 30 June,Persons - 25-29 years (no.),,4727,4796,4888,4979,5016,4785
Estimated resident population - Persons - at 30 June,Persons - 30-34 years (no.),,4313,4449,4673,4855,5072,5186
Estimated resident population - Persons - at 30 June,Persons - 35-39 years (no.),,2688,2757,2935,3117,3323,3559
