Parent Description,Description,2011,2015,2016,2017,2018,2019,2020
Estimated resident population - at 30 June,Estimated resident population (no.),,,3,3,3,3,3
Estimated resident population - at 30 June,Population density (persons/km2),,,0.5,0.5,0.5,0.5,0.5
Estimated resident population - at 30 June,Estimated resident population - males (no.),,,2,2,2,2,2
Estimated resident population - at 30 June,Estimated resident population - females (no.),,,1,1,1,1,1
Estimated resident population - at 30 June,Median age - males (years),,,43.3,44,44.8,45.5,46.3
Estimated resident population - at 30 June,Median age - females (years),,,58.5,59.5,60.5,61.5,62.5
Estimated resident population - at 30 June,Median age - persons (years),,,57.5,58.5,59.5,60.5,61.5
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,3,3,3,3,3
Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,100,100,100,100,100
Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,2,2,2,,
Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,,,,2,2
Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,100,100,100,,
Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,,,,100,100
Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,,1,1,,,
Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,,,,1,1,1
Estimated resident population - Females - at 30 June,Females - 55-59 years (%),,,100,100,,,
Estimated resident population - Females - at 30 June,Females - 60-64 years (%),,,,,100,100,100
Estimated resident population - Persons - at 30 June,Persons - 55-59 years (no.),,,3,3,2,,
Estimated resident population - Persons - at 30 June,Persons - 60-64 years (no.),,,,,1,3,3
Estimated resident population - Persons - at 30 June,Persons - 55-59 years (%),,,100,100,66.7,,
Estimated resident population - Persons - at 30 June,Persons - 60-64 years (%),,,,,33.3,100,100
Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),0,,0,,,,
Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),0,,0,,,,
Unpaid child care - Census,Cared for own child/children (no.),0,,0,,,,
Unpaid child care - Census,Cared for own child/children (%.),0,,0,,,,
Unpaid child care - Census,Cared for other child/children (no.),0,,0,,,,
Unpaid child care - Census,Cared for other child/children (%.),0,,0,,,,
Unpaid child care - Census,Total provided unpaid child care (no.),0,,0,,,,
Unpaid child care - Census,Total provided unpaid child care (%),0,,0,,,,
Unpaid child care - Census,Did not provide unpaid child care (no.),0,,0,,,,
Unpaid child care - Census,Did not provide unpaid child care (%),0,,0,,,,
Voluntary work for an organisation or group - Census,Volunteered (no.),0,,0,,,,
Voluntary work for an organisation or group - Census,Volunteered (%),0,,0,,,,
Dwelling Internet connection - Census,Dwelling has internet connection (no.),0,,0,,,,
Dwelling Internet connection - Census,Dwelling has internet connection (%),0,,0,,,,
Number of businesses - at 30 June,Number of non-employing businesses,,,82,69,73,79,73
Number of businesses - at 30 June,Number of employing businesses: 1-4 employees,,,45,40,47,44,39
Number of businesses - at 30 June,Number of employing businesses: 5-19 employees,,,39,35,26,27,28
Number of businesses - at 30 June,Number of employing businesses: 20 or more employees,,,15,13,10,12,8
Number of businesses - at 30 June,Total number of businesses,,,179,158,162,164,154
Business entries - year ended 30 June,Number of non employing business entries,,,,10,8,3,5
Business entries - year ended 30 June,Number of employing business entries: 1-4 employees,,,,5,8,3,3
Business entries - year ended 30 June,Number of employing business entries: 5-19 employees,,,,,3,,
Business entries - year ended 30 June,Total number of business entries,,,,18,20,3,10
Business exits - year ended 30 June,Number of non employing business exits,,,,14,8,12,9
Business exits - year ended 30 June,Number of employing business exits: 1-4 employees,,,,8,,3,
Business exits - year ended 30 June,Number of employing business exits: 5-19 employees,,,,3,3,,
Business exits - year ended 30 June,Number of employing business exits: 20 or more employees,,,,3,,,
Business exits - year ended 30 June,Total number of business exits,,,,25,13,13,13
Number of businesses by industry - at 30 June,"Agriculture, forestry and fishing (no.)",,,3,3,4,3,3
Number of businesses by industry - at 30 June,Manufacturing (no.),,,8,5,5,5,4
Number of businesses by industry - at 30 June,"Electricity, gas water and waste services (no.)",,,3,3,,,
Number of businesses by industry - at 30 June,Construction (no.),,,5,5,5,10,6
Number of businesses by industry - at 30 June,Wholesale trade (no.),,,68,56,48,41,39
Number of businesses by industry - at 30 June,Retail trade (no.),,,13,11,12,16,14
Number of businesses by industry - at 30 June,Accommodation and food services (no.),,,4,3,3,5,6
